decision_id	attachment_unit_ref	attachment_id	endpoint_role	decision_type	target_namespace	target_ref	reason	review_status	reviewed_on
QMA-D001	q:17:28:12			namespace-redirect	masaq-segment	17:28:12	The attachment corpus uses q:17:28:12 for the lam preposition in lahum, while grammar row 17:28:12 is a quarantined duplicate of qul; resolve this endpoint through the reviewed MASAQ lam segment.	accepted	2026-09-02
QMA-D002	q:17:28:13			namespace-redirect	masaq-segment	17:28:13	The attachment corpus uses q:17:28:13 for the hum dependent in lahum, while repaired grammar row 17:28:13 spans both lam and hum; resolve this endpoint through the reviewed MASAQ pronoun segment.	accepted	2026-09-02
QMA-D003	q:4:7:8	ae:v3:s004:007:pass1:attach:a16		exclude-source-defect			The attachment claims an idafa relation to a possessive suffix in خلفهم, but that word and suffix do not occur in Quran 4:7; both endpoints of this attachment record are quarantined instead of being falsely linked to q:4:7:8 (والأقربون).	accepted	2026-09-02
QMA-D004	q:5:14:17	ae:v3:s005:014:pass1:attach:a9	preposition	approve-fused-carrier	qac-morpheme	5:14:14:1	The attachment's fi is a semantic gloss for the relational field of بينهم, not an explicit Quranic segment; QAC 5:14:14:1 (بين, LOC) is the lexical carrier and the adjacent hum suffix is not the preposition.	accepted	2026-09-02
QMA-D005	q:7:115:10	ae:v3:s007:115:pass1:attach:a4	head	approve-fused-carrier	qac-morpheme	7:115:8:1	The first-person plural agreement reinforced by نحن is fused into the verb نكون; QAC has no separate agreement morpheme, so the verb stem is the canonical carrier.	accepted	2026-09-02
QMA-D006	q:18:49:14	ae:v3:s018:049:pass1:attach:a8	preposition	approve-fused-carrier	qac-morpheme	18:49:10:1	The lam in مال is represented inside the single QAC interrogative stem at 18:49:10:1 rather than as a separate preposition morpheme.	accepted	2026-09-02
QMA-D007	q:25:7:3	ae:v3:s025:007:pass1:attach:a2	preposition	approve-fused-carrier	qac-morpheme	25:7:2:1	The lam in مال is represented inside the single QAC interrogative stem at 25:7:2:1 rather than as a separate preposition morpheme.	accepted	2026-09-02
QMA-D008	q:27:42:6	ae:v3:s027:042:pass1:attach:a2	preposition	approve-fused-carrier	qac-morpheme	27:42:4:2	The comparative kaf in هكذا is represented inside QAC 27:42:4:2 (DEM), following a separate interrogative prefix but without its own preposition morpheme.	accepted	2026-09-02
QMA-D009	q:54:16:6	ae:v3:s054:016:pass1:attach:a5	dependent	approve-fused-carrier	qac-morpheme	54:16:4:2	The first-person possessive ya in نذر is elided in the written form and has no visible QAC suffix; QAC 54:16:4:2 is the noun stem carrying it.	accepted	2026-09-02
QMA-D010	q:54:18:8	ae:v3:s054:018:pass1:attach:a6	dependent	approve-fused-carrier	qac-morpheme	54:18:6:2	The first-person possessive ya in نذر is elided in the written form and has no visible QAC suffix; QAC 54:18:6:2 is the noun stem carrying it.	accepted	2026-09-02
QMA-D011	q:54:37:14	ae:v3:s054:037:pass1:attach:a10	dependent	approve-fused-carrier	qac-morpheme	54:37:9:2	The first-person possessive ya in نذر is elided in the written form and has no visible QAC suffix; QAC 54:37:9:2 is the noun stem carrying it.	accepted	2026-09-02
QMA-D012	q:54:39:5	ae:v3:s054:039:pass1:attach:a5	dependent	approve-fused-carrier	qac-morpheme	54:39:3:2	The first-person possessive ya in نذر is elided in the written form and has no visible QAC suffix; QAC 54:39:3:2 is the noun stem carrying it.	accepted	2026-09-02
QMA-D013	q:73:20:5	ae:v3:s073:020:pass1:attach:a11	head	approve-fused-carrier	qac-morpheme	73:20:5:1	The second-person singular subject agreement is fused into تقوم; QAC has no separate agreement morpheme, so QAC 73:20:5:1 is the verb-stem carrier.	accepted	2026-09-02
