unit_id	row_kind	source_pass	source_rtype	source_local_id	sura	ayah	xref_unit_id	candidate_unit_id	ref_type	wid	word_unit_id	part	antecedent_type	antecedent_sura	antecedent_ayah	antecedent_wid	antecedent_word_unit_id	antecedent_start_wid	antecedent_end_wid	antecedent_clause_raw	antecedent_clause_unit_id	antecedent_text	confidence	status	evidence	translation_instruction	reason	basis	result
ae:v3:s001:005:pass2:xref:r1	xref	pass2	XREF	r1	1	5	ae:v3:s001:005:pass2:xref:r1		pronoun_antecedent	1	q:1:5:1	object_pronoun											high	strongly_licensed	speech_role;discourse_accessibility	avoid_adding_explanatory_noun	إِيَّاكَ is a 2ms independent object pronoun addressing the divine participant named in the preceding praise sequence.		
ae:v3:s001:005:pass2:xref:r2	xref	pass2	XREF	r2	1	5	ae:v3:s001:005:pass2:xref:r2		pronoun_antecedent	4	q:1:5:4	object_pronoun											high	strongly_licensed	speech_role;parallelism	avoid_adding_explanatory_noun	The second إِيَّاكَ repeats the same 2ms object pronoun in a coordinated parallel clause.		
ae:v3:s001:005:pass2:cand:r1.c1	cand	pass2	CAND	r1.c1	1	5	ae:v3:s001:005:pass2:xref:r1	ae:v3:s001:005:pass2:cand:r1.c1					word	1	2	3	q:1:2:3					ٱللَّهِ	high	strongly_licensed	discourse_accessibility;cross_ayah_continuity			The nearest explicit named divine antecedent is ٱللَّهِ, and the following epithets continue that same addressee before the shift to direct address.	
ae:v3:s001:005:pass2:cand:r2.c1	cand	pass2	CAND	r2.c1	1	5	ae:v3:s001:005:pass2:xref:r2	ae:v3:s001:005:pass2:cand:r2.c1					word	1	2	3	q:1:2:3					ٱللَّهِ	high	strongly_licensed	discourse_accessibility;parallelism			The repeated 2ms object pronoun shares the antecedent of the first إِيَّاكَ by coordination and parallel object-fronting.	
ae:v3:s001:006:pass2:xref:r1	xref	pass2	XREF	r1	1	6	ae:v3:s001:006:pass2:xref:r1		pronoun_antecedent	1	q:1:6:1	object_suffix											high	strongly_licensed	morphology;cross_ayah_continuity	avoid_adding_explanatory_noun	The suffix نَا in ٱهْدِنَا resumes the first-person plural speech participant group active as the subject of نَعْبُدُ and نَسْتَعِينُ.		
ae:v3:s001:006:pass2:cand:r1.c1	cand	pass2	CAND	r1.c1	1	6	ae:v3:s001:006:pass2:xref:r1	ae:v3:s001:006:pass2:cand:r1.c1					discourse_entity									first_person_plural_speakers	high	strongly_licensed	speech_role;cross_ayah_continuity			The 1cp suffix matches the 1cp verbal subjects in 1:5 and shifts the same speaker group into object position in the petition.	
ae:v3:s001:007:pass2:xref:r1	xref	pass2	XREF	r1	1	7	ae:v3:s001:007:pass2:xref:r1		resumptive_reference	4	q:1:7:4	pronoun_suffix											high	syntactically_forced	relative_syntax;agreement	preserve_compression_if_target_language_allows	The suffix هِمْ in عَلَيْهِمْ resumes ٱلَّذِينَ inside its relative clause.		
ae:v3:s001:007:pass2:xref:r2	xref	pass2	XREF	r2	1	7	ae:v3:s001:007:pass2:xref:r2		pronoun_antecedent	7	q:1:7:7	pronoun_suffix											high	strongly_licensed	agreement;local_syntax	preserve_compression_if_target_language_allows	The suffix هِمْ in the second عَلَيْهِمْ is the complement of ٱلْمَغْضُوبِ and resumes that masculine plural passive-participle group.		
ae:v3:s001:007:pass2:cand:r1.c1	cand	pass2	CAND	r1.c1	1	7	ae:v3:s001:007:pass2:xref:r1	ae:v3:s001:007:pass2:cand:r1.c1					word	1	7	2	q:1:7:2					ٱلَّذِينَ	high	syntactically_forced	relative_syntax;agreement			The masculine plural suffix agrees with ٱلَّذِينَ and functions as the resumptive complement in the relative clause أَنْعَمْتَ عَلَيْهِمْ.	
ae:v3:s001:007:pass2:cand:r2.c1	cand	pass2	CAND	r2.c1	1	7	ae:v3:s001:007:pass2:xref:r2	ae:v3:s001:007:pass2:cand:r2.c1					word	1	7	6	q:1:7:6					ٱلْمَغْضُوبِ	high	strongly_licensed	agreement;local_syntax			The masculine plural suffix is locally licensed by the definite passive participle ٱلْمَغْضُوبِ, whose prepositional complement it supplies.	
ae:v3:s002:031:pass2:xref:src1	xref	pass2	XREF	src1	2	31	ae:v3:s002:031:pass2:xref:src1		discourse_reference	16	q:2:31:16												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated challenge condition in kuntum sadiqin; 2nd instance, anchored at 2:23.		
ae:v3:s002:031:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	31	ae:v3:s002:031:pass2:xref:src1	ae:v3:s002:031:pass2:cand:src1.c1					span	2	23			22	24				high	strongly_licensed	textual_repetition			Identical conditional challenge formula.	
ae:v3:s002:047:pass2:xref:sr1	xref	pass2	XREF	sr1	2	47	ae:v3:s002:047:pass2:xref:sr1		discourse_reference	3	q:2:47:3												high	strongly_licensed	discourse_accessibility;textual_repetition	target_language_may_require_resolution	إِسْرَٰٓءِيلَ in the renewed vocative resumes the Banī Isrāʾīl address opened at 2:40.		
ae:v3:s002:047:pass2:cand:sr1.c1	cand	pass2	CAND	sr1.c1	2	47	ae:v3:s002:047:pass2:xref:sr1	ae:v3:s002:047:pass2:cand:sr1.c1					word	2	40	3	q:2:40:3					إِسْرَائِيلَ	high	strongly_licensed	discourse_accessibility;textual_repetition			The repeated vocative يَٰبَنِىٓ إِسْرَٰٓءِيلَ is an exact participant-chain resumption after intervening admonition.	
ae:v3:s002:056:pass2:xref:src1	xref	pass2	XREF	src1	2	56	ae:v3:s002:056:pass2:xref:src1		discourse_reference	6	q:2:56:6												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated purpose formula laallakum tashkurun; 2nd instance, anchored at 2:52.		
ae:v3:s002:056:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	56	ae:v3:s002:056:pass2:xref:src1	ae:v3:s002:056:pass2:cand:src1.c1					span	2	52			7	8				high	strongly_licensed	textual_repetition			Same closing purpose formula with the root sh-k-r.	
ae:v3:s002:062:pass2:xref:src1	xref	pass2	XREF	src1	2	62	ae:v3:s002:062:pass2:xref:src1		discourse_reference	27	q:2:62:27												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated no-fear/no-grief closing formula; 2nd instance, anchored at 2:38.		
ae:v3:s002:062:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	62	ae:v3:s002:062:pass2:xref:src1	ae:v3:s002:062:pass2:cand:src1.c1					span	2	38			14	21				high	strongly_licensed	textual_repetition			Near-verbatim closing formula la khawfun alayhim wa-la hum yahzanun.	
ae:v3:s002:063:pass2:xref:src1	xref	pass2	XREF	src1	2	63	ae:v3:s002:063:pass2:xref:src1		discourse_reference	18	q:2:63:18												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated purpose formula laallakum tattaqun; 2nd instance, anchored at 2:21.		
ae:v3:s002:063:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	63	ae:v3:s002:063:pass2:xref:src1	ae:v3:s002:063:pass2:cand:src1.c1					span	2	21			12	13				high	strongly_licensed	textual_repetition			Same closing purpose formula with the root w-q-y.	
ae:v3:s002:069:pass2:xref:src1	xref	pass2	XREF	src1	2	69	ae:v3:s002:069:pass2:xref:src1		discourse_reference	1	q:2:69:1												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated cow-story question formula qalu udu lana rabbaka yubayyin lana ma; 2nd instance, anchored at 2:68.		
ae:v3:s002:069:pass2:xref:src2	xref	pass2	XREF	src2	2	69	ae:v3:s002:069:pass2:xref:src2		discourse_reference	9	q:2:69:9												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated cow-story answer formula qala innahu yaqulu innaha baqarah; 2nd instance, anchored at 2:68.		
ae:v3:s002:069:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	69	ae:v3:s002:069:pass2:xref:src1	ae:v3:s002:069:pass2:cand:src1.c1					span	2	68			1	8				high	strongly_licensed	textual_repetition			Near-verbatim narrative question refrain with only the requested detail varying.	
ae:v3:s002:069:pass2:cand:src2.c1	cand	pass2	CAND	src2.c1	2	69	ae:v3:s002:069:pass2:xref:src2	ae:v3:s002:069:pass2:cand:src2.c1					span	2	68			9	13				high	strongly_licensed	textual_repetition			Near-verbatim narrative answer refrain introducing each cow description.	
ae:v3:s002:070:pass2:xref:src1	xref	pass2	XREF	src1	2	70	ae:v3:s002:070:pass2:xref:src1		discourse_reference	1	q:2:70:1												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated cow-story question formula qalu udu lana rabbaka yubayyin lana ma; 3rd instance, anchored at 2:68.		
ae:v3:s002:070:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	70	ae:v3:s002:070:pass2:xref:src1	ae:v3:s002:070:pass2:cand:src1.c1					span	2	68			1	8				high	strongly_licensed	textual_repetition			Near-verbatim narrative question refrain with only the requested detail varying.	
ae:v3:s002:071:pass2:xref:src1	xref	pass2	XREF	src1	2	71	ae:v3:s002:071:pass2:xref:src1		discourse_reference	1	q:2:71:1												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated cow-story answer formula qala innahu yaqulu innaha baqarah; 3rd instance, anchored at 2:68.		
ae:v3:s002:071:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	71	ae:v3:s002:071:pass2:xref:src1	ae:v3:s002:071:pass2:cand:src1.c1					span	2	68			9	13				high	strongly_licensed	textual_repetition			Near-verbatim narrative answer refrain introducing each cow description.	
ae:v3:s002:081:pass2:xref:src1	xref	pass2	XREF	src1	2	81	ae:v3:s002:081:pass2:xref:src1		discourse_reference	9	q:2:81:9												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated fire-dwellers closing formula ashab al-nar hum fiha khalidun; 2nd instance, anchored at 2:39.		
ae:v3:s002:081:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	81	ae:v3:s002:081:pass2:xref:src1	ae:v3:s002:081:pass2:cand:src1.c1					span	2	39			8	13				high	strongly_licensed	textual_repetition			Same eschatological closing formula with ashab al-nar and hum fiha khalidun.	
ae:v3:s002:085:pass2:xref:src1	xref	pass2	XREF	src1	2	85	ae:v3:s002:085:pass2:xref:src1		discourse_reference	56	q:2:85:56												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated not-heedless formula wa-ma Allah bighafil amma tamalun; 2nd instance, anchored at 2:74.		
ae:v3:s002:085:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	85	ae:v3:s002:085:pass2:xref:src1	ae:v3:s002:085:pass2:cand:src1.c1					span	2	74			39	45				high	strongly_licensed	textual_repetition			Same warning formula at a section close.	
ae:v3:s002:093:pass2:xref:src1	xref	pass2	XREF	src1	2	93	ae:v3:s002:093:pass2:xref:src1		discourse_reference	32	q:2:93:32												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated condition in kuntum muminin; 2nd instance, anchored at 2:91.		
ae:v3:s002:093:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	93	ae:v3:s002:093:pass2:xref:src1	ae:v3:s002:093:pass2:cand:src1.c1					span	2	91			36	38				high	strongly_licensed	textual_repetition			Identical conditional faith formula.	
