root_arabic	form_tag	form_tag_available	instance_count	legacy_instance_count	dep_dominant	dep_dominant_ratio	head_dominant	head_dominant_ratio	negated_ratio	scoped_ratio	narration_ratio	in_quote_ratio	imperative_count	supplication_count	interrogative_count	frame_count	absolute_ratio	top_prep	agency	dominant_referent	batch_count	low_occurrence
أ ب ب	NOUN_CONCRETE	True	1	1	conjoined	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0				1	True
أ ب د	ADV	True	28	28	adverbial	1.0		0.0	0.429	0.429	0.786	0.214	0	1	0	0	0.0		mixed	OTHER	15	False
أ ب ق	PV:I	True	1	1		0.0	adverbial	0.5	0.0	0.0	1.0	0.0	0	0	0	1	0.0	إِلَى	mixed	PROPHET_OTHER	1	True
أ ب ل	NOUN_CONCRETE	True	3	3	prep_complement	1.0		0.0	0.333	0.333	1.0	0.0	0	0	0	0	0.0		mixed	NATURE_CREATION	3	True
أ ب و	IV:I	True	2	0		0.0	subject	0.5	1.0	1.0	1.0	0.0	0	0	0	2	0.5		mixed	HUMANS_GENERIC	1	True
أ ب و	NOUN_CONCRETE	True	79	119	direct_object	0.259	idafa	0.397	0.19	0.19	0.544	0.456	0	7	0	0	0.0		mixed	HUMANS_GENERIC	33	False
أ ب و	NOUN_FIVE	True	38	0	prep_complement	0.359	idafa	0.613	0.184	0.184	0.684	0.316	0	2	0	0	0.0		mixed	HUMANS_GENERIC	17	False
أ ب و	PV:I	True	1	0		0.0	clausal_complement	1.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ ب ي	IV:I	True	2	0	conjoined	1.0	subject	0.5	0.0	0.5	1.0	0.0	0	0	0	2	0.0		mixed	ABSTRACT_CONCEPT	1	True
أ ب ي	PV:I	True	8	10	conjoined	1.0	subject	0.4	0.0	0.5	1.0	0.0	0	0	0	8	0.375		mixed	ABSTRACT_CONCEPT	6	False
أ ت ي	CV:I	True	37	543	quoted_complement	0.688	prep_complement	0.484	0.027	0.027	0.0	0.73	37	27	0	37	0.267	بـ	mixed	HUMANS_GENERIC	21	False
أ ت ي	CV:IV	True	33	0	conjoined	0.882	direct_object	0.671	0.03	0.03	0.0	0.182	33	6	0	33	0.03	بـ	mixed	HUMANS_GENERIC	17	False
أ ت ي	GERUND	True	3	0	conjoined	1.0	idafa	1.0	0.333	0.333	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	3	True
أ ت ي	IV:I	True	168	0	conjoined	0.389	direct_object	0.329	0.256	0.321	0.762	0.208	0	5	7	168	0.017	بـ	mixed	HUMANS_GENERIC	51	False
أ ت ي	IV:IV	True	51	0	conjoined	0.538	direct_object	0.642	0.137	0.137	0.765	0.235	0	1	0	51	0.0	بـ	mixed	HUMANS_GENERIC	27	False
أ ت ي	IV_PASS:I	True	1	0		0.0	direct_object	1.0	1.0	1.0	0.0	1.0	0	1	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ ت ي	IV_PASS:IV	True	6	0	clausal_complement	1.0	direct_object	0.6	0.333	0.333	0.5	0.5	0	0	0	6	0.0	مِن	mixed	HUMANS_GENERIC	5	False
أ ت ي	NOUN_ACTIVE_PART	True	13	0	predication	0.923	direct_object	0.294	0.0	0.077	0.846	0.154	0	0	0	0	0.0		mixed	HUMANS_GENERIC	11	False
أ ت ي	NOUN_PASSIVE_PART	True	1	0	kana_predicate	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	1	True
أ ت ي	PV:I	True	59	0	conjoined	0.714	direct_object	0.414	0.119	0.119	0.763	0.119	0	0	7	59	0.02	مِن	mixed	HUMANS_GENERIC	32	False
أ ت ي	PV:IV	True	115	0	conjoined	0.8	direct_object	0.753	0.122	0.122	0.922	0.078	0	3	0	115	0.0	مِن	mixed	HUMANS_GENERIC	45	False
أ ت ي	PV_PASS:I	True	33	0	conjoined	0.333	direct_object	0.509	0.273	0.273	0.818	0.182	0	0	0	33	0.0	مِن	mixed	HUMANS_GENERIC	15	False
أ ت ي	PV_PASS:IV	True	26	0	conjoined	1.0	direct_object	0.429	0.231	0.231	0.538	0.423	0	2	1	26	0.0	مِن	mixed	HUMANS_GENERIC	17	False
أ ث ث	NOUN_CONCRETE	True	2	2	accusative_specification	1.0	conjoined	0.5	0.0	0.0	1.0	0.0	0	0	0	0	0.0				2	True
أ ث ر	IV:IV	True	3	0	conjoined	1.0	direct_object	0.4	0.333	0.333	0.667	0.333	0	1	0	3	0.333	عَلَى	mixed	HUMANS_GENERIC	3	True
أ ث ر	IV_PASS:IV	True	1	0	adjective	1.0		0.0	0.0	0.0	0.0	1.0	0	0	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ ث ر	NOUN_ABSTRACT	True	11	0	prep_complement	0.667	idafa	0.778	0.0	0.0	0.818	0.182	0	0	0	0	0.0		mixed	HUMANS_GENERIC	8	False
أ ث ر	NOUN_CONCRETE	True	2	0	prep_complement	1.0	idafa	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	1	True
أ ث ر	PV:I	True	1	0		0.0	direct_object	0.5	0.0	0.0	1.0	0.0	0	0	0	1	0.0	بـ	mixed	HUMANS_GENERIC	1	True
أ ث ر	PV:IV	True	2	20		0.0	direct_object	0.4	0.0	0.0	0.5	0.5	0	0	0	2	0.0	عَلَى	mixed	HUMANS_GENERIC	2	True
أ ث ل	NOUN_CONCRETE	True	1	1	conjoined	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0				1	True
أ ث م	ADJ_QUALIT	True	7	0	adjective	0.857		0.0	0.429	0.429	1.0	0.0	0	0	0	0	0.0		human	HUMANS_GENERIC	7	False
أ ث م	GERUND	True	35	48	conjoined	0.25	conjoined	0.4	0.229	0.229	0.857	0.086	0	0	2	0	0.0		human	HUMANS_GENERIC	14	False
أ ث م	NOUN_ABSTRACT	True	3	0	direct_object	0.5	conjoined	0.25	0.0	0.0	1.0	0.0	0	0	0	0	0.0		human	HUMANS_GENERIC	3	True
أ ث م	NOUN_ACTIVE_PART	True	3	0	direct_object	0.333	conjoined	0.333	0.333	0.333	0.667	0.333	0	0	0	0	0.0		human	HUMANS_GENERIC	3	True
أ ج ج	ADJ_QUALIT	True	1	0	direct_object	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0				1	True
أ ج ج	NOUN_ABSTRACT	True	2	3	adjective	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0				2	True
أ ج ر	CV:I	True	1	0		0.0	direct_object	1.0	0.0	0.0	0.0	0.0	1	0	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ ج ر	CV:X	True	1	0		0.0	direct_object	0.5	0.0	0.0	0.0	1.0	1	1	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ ج ر	GERUND	True	92	109	direct_object	0.468	adjective	0.3	0.228	0.359	0.859	0.141	0	1	0	0	0.0		mixed	HUMANS_GENERIC	37	False
أ ج ر	IV:I	True	1	0		0.0	adverbial	0.5	0.0	0.0	0.0	1.0	0	0	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ ج ر	NOUN_ABSTRACT	True	7	0	direct_object	1.0	idafa	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	5	False
أ ج ر	NOUN_CONCRETE	True	6	0	direct_object	1.0	idafa	1.0	0.333	0.333	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	5	False
أ ج ر	PV:X	True	1	0		0.0	direct_object	1.0	0.0	0.0	0.0	1.0	0	1	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ ج ل	NOUN_ABSTRACT	True	53	55	prep_complement	0.404	adjective	0.614	0.151	0.17	0.849	0.151	0	4	1	0	0.0		mixed	HUMANS_GENERIC	27	False
أ ج ل	NOUN_PASSIVE_PART	True	1	0	adjective	1.0		0.0	1.0	1.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	1	True
أ ج ل	PV:II	True	1	0		0.0	direct_object	0.5	0.0	0.0	0.0	1.0	0	1	0	1	0.0	لـ	mixed	HUMANS_GENERIC	1	True
أ ج ل	PV_PASS:II	True	1	0		0.0	prep_complement	1.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0	لـ	mixed	HUMANS_GENERIC	1	True
أ ح د	NOUN_CONCRETE	True	19	0	direct_object	0.591	idafa	0.429	0.368	0.421	0.684	0.316	0	2	1	0	0.0		human	HUMANS_GENERIC	8	False
