root_norm	stem	form_tag	instance_count	idafa_dependent_count	idafa_head_count	adjective_count	prep_complement_count	governing_relation_profile	idafa_root_profile	adjective_root_profile	prep_profile	sample_refs
	إنا	GERUND	1	0	0	0	0	direct_object:1				33:53:17
	جالوت	NOUN_PROP_FOREIGN	3	0	0	0	2	prep_complement:2;conjoined:2;direct_object:1			بـ:1;لـ:1	2:249:53;2:250:5;2:251:9
	خاص	NOUN_ACTIVE_PART	1	0	0	0	0	circumstantial:1				8:25:9
	دي	NOUN_CONCRETE	1	0	0	1	0	conjoined:1;adjective:1;prep_complement:1;exception:1		س ل م:1	إِلَى:1	4:92:21
	ذر	GERUND_PROFESSION	26	4	8	2	9	idafa:13;prep_complement:11;conjoined:10;direct_object:7;adjective:2;subject:2;kana_predicate:1;exception:1		ط ي ب:1;ض ع ف:1	مِن:9;فِي:2	2:124:19;2:128:8;3:34:1;3:36:29;3:38:11;4:9:9;6:84:16;6:87:5;6:133:19;7:172:10
	ذر	NOUN_CONCRETE	4	4	0	0	0	idafa:4	ث ق ل:4			4:40:6;10:61:31;99:7:5;99:8:5
	زكريا	NOUN_PROP_FOREIGN	7	0	0	0	0	subject:3;conjoined:3;direct_object:1;apposition:1;vocative:1				3:37:13;3:37:17;3:38:3;6:85:2;19:2:5;19:7:2;21:89:2
	عسق	NOUN_ABSTRACT	1	0	0	0	0					42:2:1
	قارون	NOUN_PROP_FOREIGN	4	0	0	0	0	subject:2;conjoined:2;particle_complement:1				28:76:2;28:79:18;29:39:2;40:24:6
	مرو	NOUN_PROP	1	0	0	0	0	conjoined:1				2:158:4
	مري	NOUN_ABSTRACT	3	0	0	0	3	prep_complement:6;kana_predicate:3			فِي:3;مِن:3	11:17:36;11:109:5;32:23:11
	موسى	NOUN_PROP_FOREIGN	135	22	0	0	14	subject:44;direct_object:31;vocative:23;idafa:22;conjoined:20;prep_complement:14;circumstantial:2;predication:1	ر ب ب:3;ق و م:3;أ ل ه:3;ب ع د:2;ك ت ب:2;ح د ث:2;أ م م:2;ص ح ف:2;أ و ل:1;ص ح ب:1		إِلَى:7;عَلَى:2;بـ:1;عَن:1;لـ:1;مِن:1;فِي:1	2:51:4;2:53:4;2:54:4;2:55:5;2:60:4;2:61:5;2:67:4;2:87:5;2:92:5;2:108:9
	هاروت	NOUN_PROP_FOREIGN	1	0	0	0	0	apposition:1;conjoined:1				2:102:27
	هارون	NOUN_PROP_FOREIGN	20	3	0	0	3	conjoined:9;apposition:6;idafa:3;prep_complement:3;circumstantial:1;subject:1;vocative:1	أ و ل:1;أ خ و:1;ر ب ب:1		عَلَى:2;إِلَى:1	2:248:24;4:163:32;6:84:27;7:122:4;7:142:21;10:75:7;19:28:3;19:53:7;20:30:1;20:70:9
	هامان	NOUN_PROP_FOREIGN	6	0	0	0	0	conjoined:4;vocative:2				28:6:11;28:8:15;28:38:17;29:39:6;40:24:4;40:36:5
	هيهات	NOUN_VERB_LIKE	2	0	0	0	0	apposition:2;prep_complement:1			لـ:1	23:36:1;23:36:2
	يأجوج	NOUN_PROP_FOREIGN	2	0	0	0	0	conjoined:2;particle_complement:1;subject:1				18:94:6;21:96:4
	ياسين	NOUN_PROP_FOREIGN	1	1	0	0	0	apposition:1;idafa:1	أ و ل:1			37:130:4
	ياقوت	NOUN_CONCRETE	1	0	0	0	0	predication:1;conjoined:1				55:58:3
	يوسف	NOUN_PROP_FOREIGN	27	2	0	1	11	prep_complement:11;conjoined:5;direct_object:5;subject:3;predication:3;vocative:2;idafa:2;kana_predicate:1;apposition:1;adjective:1	أ خ و:1;ر و ح:1	ص د ق:1	عَلَى:4;لـ:3;فِي:2;مِن:1;بـ:1	6:84:23;12:4:3;12:7:5;12:8:4;12:9:2;12:10:6;12:11:9;12:17:9;12:21:22;12:29:1
أ ب ل	أبابيل	NOUN_CONCRETE	1	0	0	0	0	adjective:1;circumstantial:1				105:3:5
أ ب ل	إبل	NOUN_CONCRETE	2	0	0	0	2	prep_complement:2			مِن:1;إِلَى:1	6:144:3;88:17:5
أ ب و	آباء	NOUN_CONCRETE	21	7	8	1	0	direct_object:18;idafa:15;conjoined:8;adjective:1;circumstantial:1;kana_predicate:1		أ و ل:1		2:170:16;2:200:10;5:104:19;7:28:8;7:95:12;9:23:7;10:78:8;21:44:5;21:53:3;23:68:10
أ ب و	آباؤ	NOUN_CONCRETE	26	8	8	3	0	conjoined:18;idafa:16;subject:14;adjective:3		أ و ل:2;ق د م:1		2:170:19;4:11:72;4:22:6;5:104:22;6:91:43;6:148:11;7:70:12;7:71:16;7:173:5;9:24:4
أ ب و	آبائ	NOUN_CONCRETE	15	8	5	5	9	idafa:16;prep_complement:9;conjoined:6;adjective:5;apposition:2	ر ب ب:3;أ ل ه:1;م ل ل:1;ب ي ت:1	أ و ل:5	مِن:3;لـ:2;فِي:2;بـ:2	2:133:21;6:87:3;12:38:4;13:23:8;18:5:10;23:24:29;24:61:25;26:26:5;28:36:20;33:5:3
أ ب و	أب	NOUN_CONCRETE	12	1	1	1	1	vocative:8;predication:2;prep_complement:2;adjective:2;idafa:2;particle_complement:1;conjoined:1		ش ي خ:1;ك ب ر:1	لـ:2	12:4:7;12:78:7;12:100:13;19:42:6;19:43:2;19:44:2;19:45:2;26:86:4;28:23:28;28:26:4
أ ب و	أبو	NOUN_CONCRETE	5	0	0	0	2	direct_object:3;prep_complement:2;predication:1;apposition:1			لـ:1;عَلَى:1	4:11:31;7:27:10;12:6:23;12:99:8;12:100:3
أ ت ي	آت	NOUN_ACTIVE_PART	2	0	0	0	0	predication:2				6:134:5;29:5:11
أ ت ي	آتي	NOUN_ACTIVE_PART	10	1	2	0	0	predication:11;direct_object:8;idafa:3;adverbial:3;prep_complement:3;circumstantial:2;subject:1			بـ:3	11:76:13;15:85:17;19:93:9;19:95:3;20:15:3;22:7:4;27:39:6;27:40:8;40:59:4;44:19:8
أ ت ي	إيتاء	GERUND	3	0	3	0	0	conjoined:3;idafa:3				16:90:9;21:73:16;24:37:15
أ ت ي	مأتي	NOUN_PASSIVE_PART	1	0	0	0	0	kana_predicate:1				19:61:12
أ ت ي	مؤت	NOUN_ACTIVE_PART	1	0	0	0	0	conjoined:1;direct_object:1				4:162:22
أ ث ث	أثاث	NOUN_CONCRETE	2	0	0	0	0	conjoined:2;prep_complement:1;predication:1;accusative_specification:1			مِن:1	16:80:28;19:74:9
أ ث ر	آثار	NOUN_ABSTRACT	11	4	5	0	8	prep_complement:10;idafa:9;conjoined:3;direct_object:1			عَلَى:7;فِي:2;إِلَى:1	5:46:4;18:6:6;18:64:9;30:50:4;36:12:10;37:70:4;40:21:21;40:82:21;43:22:11;43:23:23
أ ث ر	أثر	NOUN_ABSTRACT	3	1	3	0	3	idafa:4;prep_complement:3			مِن:2;عَلَى:1	20:84:5;20:96:12;48:29:25
أ ث ل	أثل	NOUN_CONCRETE	1	0	0	0	0	conjoined:1				34:16:17
أ ث م	آثم	NOUN_ACTIVE_PART	3	0	0	0	1	prep_complement:2;particle_complement:1;subject:1;direct_object:1;conjoined:1			مِن:2	2:283:38;5:106:58;76:24:10
أ ث م	أثام	NOUN_ABSTRACT	1	0	0	0	0	direct_object:1				25:68:27
أ ث م	أثيم	ADJ_QUALIT	7	1	0	0	0	adjective:6;idafa:1	ط ع م:1			2:276:13;4:107:15;26:222:5;44:44:2;45:7:5;68:12:5;83:12:8
أ ث م	إثم	GERUND	33	3	0	6	9	conjoined:17;prep_complement:15;adjective:6;direct_object:5;particle_complement:4;predication:4;idafa:3;accusative_specification:2	ك ب ر:2;ظ ه ر:1	ب ي ن:4;ك ب ر:1;ع ظ م:1	بـ:5;عَلَى:5;لـ:2;فِي:2;مِن:1	2:85:15;2:173:27;2:182:8;2:182:14;2:188:20;2:203:14;2:203:21;2:206:10;2:219:8;2:219:15
أ ث م	إثم	NOUN_ABSTRACT	2	1	1	0	1	idafa:2;prep_complement:2;predication:1;conjoined:1			عَلَى:1;بـ:1	2:181:8;5:29:6
أ ث م	تأثيم	GERUND	2	0	0	0	0	conjoined:2;particle_complement:1;predication:1;direct_object:1				52:23:9;56:25:7
أ ج ج	أجاج	ADJ_QUALIT	1	0	0	0	0	direct_object:1				56:70:4
أ ج ج	أجاج	NOUN_ABSTRACT	2	0	0	0	0	adjective:2				25:53:12;35:12:13
أ ج ر	أجر	GERUND	92	7	20	33	11	prep_complement:37;direct_object:37;adjective:33;predication:32;idafa:27;conjoined:9;adverbial:7;particle_complement:6;subject:4;exception:3		ع ظ م:18;ك ب ر:5;ك ر م:4;غ ي ر:4;ح س ن:2	لـ:16;مِن:10;عَلَى:10;بـ:1	2:62:24;2:112:12;2:262:18;2:274:14;2:277:15;3:136:16;3:171:13;3:172:18;3:179:45;3:199:32
أ ج ر	أجر	NOUN_ABSTRACT	1	0	0	0	0	direct_object:1				33:31:13
أ ج ر	أجور	NOUN_ABSTRACT	6	3	3	0	0	direct_object:6;idafa:6				3:57:10;3:185:8;4:152:17;4:173:10;35:30:3;47:36:13
أ ج ر	أجور	NOUN_CONCRETE	6	1	1	0	0	direct_object:6;idafa:2				4:24:32;4:25:34;5:5:31;33:50:10;60:10:47;65:6:30
أ ج ل	أجل	NOUN_ABSTRACT	53	10	11	27	21	adjective:27;prep_complement:23;idafa:21;direct_object:12;subject:10;predication:5;conjoined:3;particle_complement:2;clausal_complement:1	ك ل ل:1;أ ي ي:1	س م و:21;ق ر ب:3;ل ل ذ:1;ع د د:1	إِلَى:16;لـ:6;مِن:1	2:231:7;2:232:7;2:234:18;2:235:37;2:282:10;2:282:112;4:77:42;5:32:2;6:2:8;6:2:10
أ ج ل	مؤجل	NOUN_PASSIVE_PART	1	0	0	0	0	adjective:1				3:145:13
أ ح د	أحد	NOUN_CONCRETE	9	1	1	0	0	direct_object:6;subject:4;idafa:2;conjoined:1				2:180:5;2:266:2;5:106:9;6:61:13;12:41:5;12:78:12;18:19:27;49:12:22;63:10:10
أ ح د	أحد	NOUN_NUM	65	9	4	0	17	prep_complement:37;direct_object:25;subject:24;idafa:14;predication:4;conjoined:3;exception:2;apposition:1;accusative_specification:1	ب ي ن:4;ش ه د:1;أ ب و:1		مِن:31;لـ:3;عَلَى:2;كـ:1	2:96:13;2:102:34;2:102:60;2:136:37;2:285:24;3:73:16;3:84:35;3:91:13;3:153:7;4:18:11
أ ح د	إحدى	NOUN_NUM	5	0	5	0	1	idafa:5;direct_object:3;prep_complement:1;predication:1			مِن:1	8:7:5;9:52:6;28:27:6;35:42:15;74:35:3
أ خ ذ	آخذ	NOUN_ACTIVE_PART	3	0	0	0	1	prep_complement:2;kana_predicate:1;exception:1;predication:1;direct_object:1			بـ:2	2:267:25;11:56:13;51:16:1
أ خ ذ	أخذ	GERUND	5	0	2	1	0	idafa:2;cognate_acc:2;direct_object:1;circumstantial:1;conjoined:1;predication:1;prep_complement:1;particle_complement:1;adjective:1		و ب ل:1	كـ:1	4:161:2;11:102:4;11:102:13;54:42:7;73:16:7
أ خ ذ	أخذ	GERUND_INSTANT	1	0	0	1	0	cognate_acc:1;adjective:1		ر ب و:1		69:10:7
أ خ ذ	اتخاذ	GERUND	1	0	0	0	1	prep_complement:1;direct_object:1			بـ:1	2:54:13
أ خ ذ	متخذ	NOUN_ACTIVE_PART	3	0	3	0	0	idafa:3;conjoined:2;kana_predicate:1;direct_object:1				4:25:42;5:5:37;18:51:14
أ خ ر	آخر	ADJ_COMP	67	0	0	3	3	adjective:47;prep_complement:8;conjoined:7;direct_object:6;subject:5;predication:4		ر و د:1;س و أ:1;ق ر ن:1	مِن:6;بـ:1;لـ:1	2:8:12;2:62:17;2:126:22;2:177:19;2:228:27;2:232:30;2:264:25;3:114:6;4:38:16;4:39:10
أ خ ر	آخر	NOUN_ABSTRACT	45	0	0	0	24	prep_complement:25;conjoined:20;predication:7;adverbial:1;particle_complement:1			بـ:22;فِي:2;لـ:1	2:4:15;2:86:7;2:217:62;2:220:4;3:22:8;3:45:21;3:56:12;4:74:11;4:77:49;4:134:12
أ خ ر	آخر	NOUN_ACTIVE_PART	82	19	1	0	42	prep_complement:43;idafa:20;adjective:9;conjoined:8;direct_object:7;predication:3;adverbial:1;clausal_complement:1;particle_complement:1;apposition:1	ع ذ ب:6;ل ق ي:3;ث و ب:2;أ ج ر:2;د و ر:2;و ع د:2;ح ر ث:1;ن ك ل:1		فِي:35;مِن:4;عَلَى:2;عَن:1;لـ:1	2:94:6;2:102:82;2:114:33;2:130:20;2:200:27;2:201:12;3:72:18;3:77:17;3:85:14;3:145:25
أ خ ر	أخر	ADJ_COMP	2	0	0	0	0	adjective:2				2:184:15;2:185:34
أ خ ر	أخر	ADJ_QUALIT	3	0	0	2	0	conjoined:3;adjective:2;predication:1;direct_object:1		ي ب س:2		3:7:13;12:43:17;12:46:17
أ خ ر	أخرا	ADJ_COMP	3	0	0	0	2	prep_complement:2;subject:1			فِي:1;لـ:1	3:153:12;7:38:26;7:39:5
أ خ ر	أخرى	ADJ_COMP	23	5	0	1	1	adjective:11;idafa:5;direct_object:2;predication:2;subject:2;conjoined:1;prep_complement:1	و ز ر:5	ق د ر:1	عَلَى:1	2:282:95;3:13:14;4:102:32;6:19:30;6:164:23;17:15:20;17:69:7;20:18:14;20:22:12;20:37:7
أ خ ر	مستأخر	NOUN_ACTIVE_PART	1	0	0	0	0	direct_object:1				15:24:11
أ خ و	أخ	NOUN_CONCRETE	17	4	2	0	3	prep_complement:8;idafa:6;predication:5;conjoined:4;subject:3;apposition:2;vocative:1	ب ن ي:1;ب ي ن:1;س و أ:1		لـ:5;بـ:2;مِن:1	4:12:70;4:12:72;4:23:17;4:23:61;4:176:15;5:25:9;5:31:25;7:151:7;12:59:9;12:77:7
أ خ و	أخت	NOUN_CONCRETE	3	1	1	0	2	prep_complement:2;idafa:2;direct_object:1			لـ:1;مِن:1	7:38:19;28:11:4;43:48:10
أ خ و	أخو	NOUN_CONCRETE	6	4	0	0	0	idafa:4;conjoined:2;prep_complement:1	ب ن ي:2;ب ي ت:1;ب ي ن:1		مِن:1	4:23:7;4:23:23;24:31:49;24:61:34;33:55:19;49:10:7
أ خ و	إخو	NOUN_CONCRETE	7	1	1	0	1	subject:2;idafa:2;kana_predicate:1;apposition:1;prep_complement:1;conjoined:1;predication:1	ب ي ن:1		عَلَى:1	4:11:60;4:176:42;12:5:8;12:7:7;12:58:3;12:100:45;49:10:3
أ خ و	إخوان	NOUN_CONCRETE	22	6	5	1	5	idafa:11;conjoined:8;prep_complement:7;kana_predicate:2;subject:2;predication:1;circumstantial:1;adjective:1	ب ن ي:2;ب ي ت:1	ل ل ذ:1	لـ:5;فِي:2	2:220:18;3:103:26;3:156:13;3:168:4;6:87:7;7:202:2;9:11:11;9:23:9;9:24:8;15:47:8
أ د م	آدم	NOUN_PROP_FOREIGN	25	10	0	0	6	idafa:10;prep_complement:6;vocative:5;direct_object:2;subject:2;conjoined:2	ب ن ي:8;م ث ل:1		لـ:5;إِلَى:1	2:31:3;2:33:3;2:34:8;2:35:4;2:37:3;3:33:4;3:59:8;5:27:6;7:11:13;7:19:3
أ د ي	أداء	NOUN_ABSTRACT	1	0	0	0	0	prep_complement:2;conjoined:1			إِلَى:1;بـ:1	2:178:33
أ د ي	إدا	NOUN_ABSTRACT	1	0	0	0	0	adjective:1				19:89:5
أ ذ ن	آذان	NOUN_CONCRETE	12	3	4	3	8	prep_complement:10;idafa:7;predication:3;adjective:3;conjoined:2;direct_object:1		س م ع:3	فِي:7;لـ:2;عَلَى:1	2:19:15;4:119:13;6:25:15;7:179:26;7:195:20;17:46:10;18:11:4;18:57:26;22:46:14;41:5:11
أ ذ ن	أذان	GERUND	1	0	0	0	0	prep_complement:2;adverbial:1;clausal_complement:1			مِن:1;إِلَى:1	9:3:2
