unit_id	sura	ayah	wid	word_unit_id	surface	stem	root_norm	form_tag	grammar	has_idafa_dependent	has_idafa_head	has_adjective	has_prep_complement	dependent_attachment_ids	head_attachment_ids	modifier_attachment_ids	prep_attachment_ids	attachment_count	high_count	low_count
ae:v3:s001:001:noun:2	1	1	2	q:1:1:2	بِسْمِ	اسم	س م و	NOUN_ABSTRACT	NOUN_ABSTRACT, genitive as object of bi-, construct (muḍāf) to اللَّه	0	1	0	1	ae:v3:s001:001:pass1:attach:a1	ae:v3:s001:001:pass1:attach:a2		ae:v3:s001:001:pass1:attach:a1	2	2	0
ae:v3:s001:001:noun:3	1	1	3	q:1:1:3	اللَّهِ	له	أ ل ه	NOUN_PROP	NOUN_PROP, genitive (muḍāf ilayhi of ism)	1	0	1	0	ae:v3:s001:001:pass1:attach:a2	ae:v3:s001:001:pass1:attach:a3;ae:v3:s001:001:pass1:attach:a4	ae:v3:s001:001:pass1:attach:a3;ae:v3:s001:001:pass1:attach:a4		3	3	0
ae:v3:s001:001:noun:4	1	1	4	q:1:1:4	الرَّحْمَنِ	رحمن	ر ح م	NOUN_PROP	NOUN_PROP (intensive adjectival form faʿlān), genitive (adjectival apposition to اللَّه)	0	0	0	0	ae:v3:s001:001:pass1:attach:a3				1	1	0
ae:v3:s001:001:noun:5	1	1	5	q:1:1:5	الرَّحِيمِ	رحيم	ر ح م	NOUN_PROP	ADJ_INTENS on faʿīl pattern, genitive (adjectival apposition to اللَّه)	0	0	0	0	ae:v3:s001:001:pass1:attach:a4				1	1	0
ae:v3:s001:002:noun:1	1	2	1	q:1:2:1	الْحَمْدُ	حمد	ح م د	GERUND	GERUND, nominative, definite with al-	0	0	0	0		ae:v3:s001:002:pass1:attach:a1;ae:v3:s001:002:pass1:attach:a2			2	2	0
ae:v3:s001:002:noun:3	1	2	3	q:1:2:3	لِلَّهِ	له	أ ل ه	NOUN_PROP	NOUN_PROP, genitive (object of preposition lām)	0	0	0	1	ae:v3:s001:002:pass1:attach:a1;ae:v3:s001:002:pass1:attach:a2	ae:v3:s001:002:pass1:attach:a3		ae:v3:s001:002:pass1:attach:a1	3	3	0
ae:v3:s001:002:noun:4	1	2	4	q:1:2:4	رَبِّ	رب	ر ب ب	NOUN_CONCRETE	NOUN_CONCRETE, genitive (apposition/badal to Allāhi) in iḍāfa with ʿālamīn	0	1	0	0	ae:v3:s001:002:pass1:attach:a3	ae:v3:s001:002:pass1:attach:a4			2	2	0
ae:v3:s001:002:noun:5	1	2	5	q:1:2:5	الْعَالَمِينَ	عالم	ع ل م	NOUN_ABSTRACT	NOUN_ABSTRACT, genitive masculine plural (sound plural, second term of iḍāfa)	1	0	0	0	ae:v3:s001:002:pass1:attach:a4				1	1	0
ae:v3:s001:003:noun:1	1	3	1	q:1:3:1	الرَّحْمَنِ	رحمن	ر ح م	NOUN_PROP	noun, proper, genitive (majrūr by continuation from rabbi in 1:2 or as naʿt to Allāh in 1:2), definite (al-)	0	0	0	0		ae:v3:s001:003:pass1:attach:a1			1	0	0
ae:v3:s001:003:noun:2	1	3	2	q:1:3:2	الرَّحِيمِ	رحيم	ر ح م	NOUN_PROP	noun, proper, genitive (majrūr, second appositive continuing the genitive chain from rabbi in 1:2), definite (al-)	0	0	0	0	ae:v3:s001:003:pass1:attach:a1				1	0	0
