root_arabic	form_tag	form_tag_available	instance_count	frame_count	absolute_ratio	top_prep	prep_profile	obj_status_dist	clausal_complement_count	passive_count	prodrop_count	batch_count	low_occurrence
أ ب ق	PV:I	True	1	1	0.0	إِلَى	"{""إِلَى"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
أ ب و	IV:I	True	2	2	0.5		{}	"{""clausal"": 1, ""none_absolute"": 1}"	1	0	0	1	True
أ ب و	PV:I	True	1	1	0.0		{}	"{""clausal"": 1}"	1	0	1	1	True
أ ب ي	IV:I	True	2	2	0.0		{}	"{""clausal"": 1, ""none_intransitive"": 1}"	1	0	0	1	True
أ ب ي	PV:I	True	8	8	0.375		{}	"{""clausal"": 2, ""explicit"": 3, ""none_absolute"": 3}"	2	0	2	6	False
أ ت ي	CV:I	True	37	37	0.267	بـ	"{""بـ"": 26, ""عَلَى"": 1, ""فِي"": 1, ""مِن"": 2}"	"{""both"": 1, ""clitic"": 18, ""explicit"": 3, ""none_absolute"": 8, ""none_intransitive"": 7}"	0	0	37	21	False
أ ت ي	CV:IV	True	33	33	0.03	بـ	"{""بـ"": 2, ""مِن"": 2}"	"{""both"": 16, ""clitic"": 2, ""explicit"": 14, ""none_absolute"": 1}"	0	0	33	17	False
أ ت ي	IV:I	True	168	168	0.017	بـ	"{""إِلَى"": 1, ""بـ"": 55, ""عَلَى"": 3, ""عَن"": 1, ""فِي"": 2, ""مِن"": 24}"	"{""both"": 1, ""clitic"": 95, ""explicit"": 21, ""none_absolute"": 2, ""none_intransitive"": 49}"	0	0	80	51	False
أ ت ي	IV:IV	True	51	51	0.0	بـ	"{""بـ"": 8, ""مِن"": 5}"	"{""both"": 25, ""clitic"": 12, ""explicit"": 13, ""none_intransitive"": 1}"	0	0	40	27	False
أ ت ي	IV_PASS:I	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
أ ت ي	IV_PASS:IV	True	6	6	0.0	مِن	"{""مِن"": 1}"	"{""explicit"": 6}"	0	0	3	5	False
أ ت ي	PV:I	True	59	59	0.02	مِن	"{""بـ"": 11, ""عَلَى"": 6, ""كـ"": 2, ""مِن"": 12}"	"{""both"": 7, ""clitic"": 31, ""explicit"": 9, ""none_absolute"": 1, ""none_intransitive"": 10, ""none_passive"": 1}"	1	1	29	32	False
أ ت ي	PV:IV	True	115	115	0.0	مِن	"{""عَلَى"": 1, ""فِي"": 4, ""مِن"": 22}"	"{""both"": 88, ""clitic"": 14, ""explicit"": 13}"	0	0	97	45	False
أ ت ي	PV_PASS:I	True	33	33	0.0	مِن	"{""بـ"": 1, ""عَلَى"": 1, ""مِن"": 6}"	"{""clitic"": 2, ""explicit"": 26, ""none_passive"": 5}"	0	5	15	15	False
أ ت ي	PV_PASS:IV	True	26	26	0.0	مِن	"{""بـ"": 3, ""عَلَى"": 1, ""مِن"": 7}"	"{""clitic"": 1, ""explicit"": 20, ""none_passive"": 5}"	0	5	10	17	False
أ ث ر	IV:IV	True	3	3	0.333	عَلَى	"{""عَلَى"": 2}"	"{""clitic"": 1, ""explicit"": 1, ""none_absolute"": 1}"	0	0	3	3	True
أ ث ر	IV_PASS:IV	True	1	1	0.0		{}	"{""none_passive"": 1}"	0	1	1	1	True
أ ث ر	PV:I	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""explicit"": 1}"	0	0	1	1	True
أ ث ر	PV:IV	True	2	2	0.0	عَلَى	"{""عَلَى"": 1}"	"{""clitic"": 1, ""explicit"": 1}"	0	0	1	2	True
أ ج ر	CV:I	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
أ ج ر	CV:X	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
أ ج ر	IV:I	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
أ ج ر	PV:X	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	1	1	True
أ ج ل	PV:II	True	1	1	0.0	لـ	"{""لـ"": 1}"	"{""explicit"": 1}"	0	0	1	1	True
أ ج ل	PV_PASS:II	True	1	1	0.0	لـ	"{""لـ"": 1}"	"{""none_passive"": 1}"	0	1	0	1	True
أ خ ذ	CV:I	True	23	23	0.0	بـ	"{""بـ"": 6, ""مِن"": 1}"	"{""both"": 1, ""clitic"": 9, ""explicit"": 13}"	0	0	23	13	False
أ خ ذ	CV:VIII	True	2	2	0.0	مِن	"{""مِن"": 3}"	"{""both"": 1, ""explicit"": 1}"	0	0	2	2	True
أ خ ذ	GERUND	True	6	2	1.0	كـ	"{""كـ"": 1}"	"{""none_absolute"": 1, ""none_intransitive"": 1}"	0	0	0	5	False
أ خ ذ	IV:I	True	27	27	0.074	بـ	"{""بـ"": 4, ""عَلَى"": 1, ""فِي"": 3, ""مِن"": 2}"	"{""clitic"": 16, ""explicit"": 9, ""none_absolute"": 2}"	0	0	17	14	False
أ خ ذ	IV:III	True	9	9	0.0	بـ	"{""بـ"": 8}"	"{""clitic"": 7, ""explicit"": 2}"	0	0	5	5	False
أ خ ذ	IV:VIII	True	53	53	0.019	مِن	"{""إِلَى"": 1, ""عَلَى"": 1, ""فِي"": 1, ""مِن"": 18}"	"{""both"": 28, ""explicit"": 24, ""none_absolute"": 1}"	1	0	45	21	False
أ خ ذ	IV_PASS:I	True	5	5	0.0	مِن	"{""بـ"": 2, ""عَلَى"": 1, ""مِن"": 4}"	"{""none_passive"": 5}"	0	5	1	5	False
أ خ ذ	PV:I	True	74	74	0.027	بـ	"{""إِلَى"": 1, ""بـ"": 19, ""عَلَى"": 2, ""مِن"": 14}"	"{""both"": 2, ""clitic"": 35, ""explicit"": 33, ""none_absolute"": 2, ""none_passive"": 2}"	1	2	40	32	False
أ خ ذ	PV:VIII	True	66	66	0.0	مِن	"{""إِلَى"": 2, ""عَلَى"": 1, ""فِي"": 2, ""مِن"": 23}"	"{""both"": 22, ""clitic"": 2, ""explicit"": 42}"	0	0	52	30	False
أ خ ذ	PV_PASS:I	True	1	1	0.0	مِن	"{""مِن"": 1}"	"{""none_passive"": 1}"	0	1	1	1	True
أ خ ر	CV:II	True	1	1	0.0	إِلَى	"{""إِلَى"": 1}"	"{""clitic"": 1}"	0	0	1	1	True
