candidate_id	channel_score	label_hint	ayah_count	root_count	branch_count	edge_count	mean_affinity	density	reciprocal_edge_ratio	strong_rank_ratio	ayahs	roots	top_facets	example_edge
C001	0.83	land_water_sky/weather_climate / sky / cloud / precipitation	20	10	10	15	0.06148642	0.3333	1.0	0.8	1,2,3,4,11,12,13,14,15,16,20,22,23,29,31,32,34,35,37,38	خ ر ج ر ب ب س ب ل س ق ي ص ب ر ع م ي ك ل ل ن ه ر و ل ي و ه ن	theme:land_water_sky/weather_climate(94.8074); kw:sky(71.8395); kw:cloud(62.3609); kw:precipitation(44.6404); kw:meteorology(43.1696); kw:mass(41.0035); kw:atmosphere(39.7012); kw:rain(35.5423)	ر ب ب:B008:رباب السحاب → ص ب ر:B010:سحاب أبيض متراكم
C002	0.8082	land_water_sky/sky_astronomy / land_water_sky/weather_climate / star / sky	24	15	15	30	0.05822464	0.2857	1.0	0.7333	1,2,3,4,9,12,13,14,15,16,18,19,20,23,24,25,26,27,29,31,32,34,37,38	خ ر ج د ب ر ر ب ب ر ق ب س ب ل س ق ي س و ر ش ر ط ص ب ر ع م ي غ ف ر ق ل ب ك ل ل ن ز ل ن ع م	theme:land_water_sky/sky_astronomy(77.0844); theme:land_water_sky/weather_climate(71.1056); kw:star(64.1841); kw:sky(59.8663); kw:cloud(49.8887); kw:calendar(48.4301); kw:mansion(46.5929); kw:constellation(43.7155)	ر ب ب:B008:رباب السحاب → ص ب ر:B010:سحاب أبيض متراكم
C003	0.8077	land_water_sky/sky_astronomy / star / astronomy / calendar	19	11	11	18	0.05873734	0.3273	1.0	0.7222	2,3,4,6,9,12,14,15,16,18,19,20,24,25,26,27,28,29,34	ت ب ع ج ن ن د ب ر ر ق ب س و ر ش ر ط غ ف ر ق ل ب ك ل ل ن ز ل ن ع م	theme:land_water_sky/sky_astronomy(77.0844); kw:star(77.0209); kw:astronomy(53.537); kw:calendar(48.4301); kw:mansion(46.5929); kw:constellation(43.7155); kw:pleiades(34.1547); kw:moon(29.544)	ق ل ب:B010:قلب العقرب النجم → د ب ر:B013:الدبران تابع الثريا
C004	0.8031	chest / body_health_life/anatomy / breast / thorax	22	10	11	16	0.05688793	0.2963	1.0	0.8125	1,2,4,6,8,9,12,14,15,16,19,20,24,28,29,30,32,33,34,35,37,38	ب د ل ج ن ن س ب ل س ل م ض غ ن ع م ل ق ل ب ك ل ل ل ب ن و ه ن	kw:chest(78.5549); theme:body_health_life/anatomy(76.8452); kw:breast(59.5205); kw:thorax(51.232); kw:skeleton(42.9143); kw:bone(38.6317); kw:clavicle(34.884); kw:torso(32.5328)	ل ب ن:B005:لَبان الصدر → ك ل ل:B007:الكُلْكُل صدرا
C005	0.8025	fruit / palm / tree / crop	26	15	17	45	0.05974505	0.3383	0.8444	0.5778	1,2,3,4,6,8,10,11,12,15,16,17,18,19,20,21,22,24,26,29,30,31,32,33,34,36	ء ت ي ء ك ل ث م ر ج ن ن س ق ي ش ي ء ص ب ر ط ع م ط و ع ع س ي ق ل ب ك ف ر ل ع ب م ع ي ن و ر	kw:fruit(116.1729); kw:palm(79.6046); kw:tree(67.8912); kw:crop(67.1951); theme:agriculture_food/plant_vegetation(62.3856); kw:harvest(50.1599); kw:agriculture(49.2943); kw:botany(47.5448)	ط ع م:B005:إدراك الثمر وأخذ الطعم → ث م ر:B001:الثمرة الناضجة
C006	0.8022	road / route / path / access	22	9	12	17	0.05993256	0.2698	1.0	0.8824	1,2,4,8,9,12,13,14,15,16,17,18,22,27,28,30,32,33,34,35,36,38	ء ت ي س ب ل ص د د ض ر ر ع م ل ق ط ع م ع ع م ل ك ه ل ك	kw:road(65.4624); kw:route(52.5539); kw:path(49.8887); kw:access(36.9363); kw:thoroughfare(34.884); kw:traveler(34.1547); kw:navigation(32.081); theme:movement_travel/travel(26.8886)	س ب ل:B002:أهل الطريق وسالكوه → ق ط ع:B023:قطع الطريق بالغصب والصد
C007	0.7982	fruit / palm / agriculture_food/plant_vegetation / botany	26	15	16	37	0.06012334	0.3109	0.8919	0.5676	1,2,3,4,6,8,10,11,12,15,16,17,18,19,20,21,22,24,25,26,29,30,32,33,34,36	ء ت ي ء ك ل ث م ر د خ ل ش ي ء ط ع م ط و ع ع س ل ع س ي غ ف ر ق ل ب ك ف ر ل ع ب م ع ي م ل ي	kw:fruit(92.9383); kw:palm(90.9767); theme:agriculture_food/plant_vegetation(62.3856); kw:botany(57.0538); kw:tree(56.576); kw:crop(53.7561); kw:harvest(50.1599); kw:produce(46.1482)	ط ع م:B005:إدراك الثمر وأخذ الطعم → ث م ر:B001:الثمرة الناضجة
C008	0.7974	season / heat / rain / climate	15	11	12	19	0.0635143	0.2923	1.0	0.9474	1,3,4,11,15,18,20,22,23,27,31,32,34,35,38	ء ن ي ح م م س ب ل ص ب ر ص ف و ص م م ض ر ب ع م ي ق ط ع م ع ع و ل ي	kw:season(72.9832); kw:heat(55.1015); kw:rain(47.3897); kw:climate(47.3897); kw:cold(41.3787); kw:weather(37.9455); theme:land_water_sky/weather_climate(31.6025); kw:frost(30.7655)	ص م م:B008:صميم الحر والبرد → ص ب ر:B007:شدة برد الشتاء
C009	0.7968	sign / semiotics / banner / contract	24	11	11	13	0.06208684	0.2364	1.0	0.8462	1,2,4,6,8,9,10,12,14,15,16,18,19,20,21,22,26,28,30,31,32,33,35,38	ء م ر ر ء ي س و م ش ر ط ع ر ف ع ق ب ع ل م ع م ل ق ط ع ق و م ن و ر	kw:sign(69.2923); kw:semiotics(61.531); kw:banner(49.5059); kw:contract(49.2484); kw:mark(48.8874); kw:landmark(41.3787); kw:stipulation(35.7766); kw:flag(33.5381)	ش ر ط:B001:العلم والعلامة والشرط → ء م ر:B005:العلامة والموعد
C010	0.792	wage / tribute / tax / exchange	21	9	11	15	0.05872842	0.283	0.9333	0.8667	1,2,3,4,8,9,12,13,14,15,16,22,27,28,29,30,32,33,35,36,37	ء ج ر ب ط ل ج ر ي خ ر ج ض ر ب ع م ل ق ط ع م ع ع و ه ن	kw:wage(49.5059); kw:tribute(48.7992); kw:tax(33.004); kw:exchange(32.7314); kw:leisure(32.5328); kw:revenue(31.7301); kw:levy(31.3821); kw:taxation(30.4895)	ض ر ب:B010:المال المضروب على أحد → خ ر ج:B003:مال يخرج على جهة معلومة
