root_arabic	form_tag	form_tag_available	instance_count	total_attach	partner_count	top_partner_root	top_partner_form_tag	top_partner_count	top_partner_ratio	constraint_ratio	collocation_entropy	batch_count	low_occurrence
أ ب ب	NOUN_CONCRETE	True	1	1	1	ف ك ه	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ ب د	ADV	True	28	28	17	خ ل د	NOUN_ACTIVE_PART	11	0.393	0.393	3.377	15	False
أ ب ق	PV:I	True	1	1	1	ف ل ك	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ ب ل	NOUN_CONCRETE	True	3	2	2	ث ن ي	NOUN_NUM	1	0.5	0.333	1.0	3	True
أ ب و	IV:I	True	2	3	3	ش ه د	NOUN_CONCRETE	1	0.333	0.5	1.585	1	True
أ ب و	NOUN_CONCRETE	True	79	91	47	و ج د	PV:I	9	0.099	0.114	5.102	33	False
أ ب و	NOUN_FIVE	True	38	42	26	ق و ل	PV:I	8	0.19	0.211	4.309	17	False
أ ب ي	IV:I	True	2	3	3	أ ل ه	NOUN_PROP	1	0.333	0.5	1.585	1	True
أ ب ي	PV:I	True	8	10	7	ك ف ر	ADJ_INTENS	3	0.3	0.375	2.646	6	False
أ ت ي	CV:I	True	37	44	31	ق و ل	PV:I	9	0.205	0.243	4.567	21	False
أ ت ي	CV:IV	True	33	76	43	ز ك و	NOUN_ABSTRACT	11	0.145	0.333	4.9	17	False
أ ت ي	GERUND	True	3	6	5	ز ك و	NOUN_ABSTRACT	2	0.333	0.667	2.252	3	True
أ ت ي	IV:I	True	168	242	130	أ ي ي	NOUN_ABSTRACT	10	0.041	0.06	6.561	51	False
أ ت ي	IV:IV	True	51	76	48	أ ل ه	NOUN_PROP	7	0.092	0.137	5.244	27	False
أ ت ي	IV_PASS:IV	True	6	10	8	أ و ل	NOUN_CONCRETE	2	0.2	0.333	2.922	5	False
أ ت ي	NOUN_ACTIVE_PART	True	13	13	11	ق ب ل	ADV	2	0.154	0.154	3.393	11	False
أ ت ي	NOUN_PASSIVE_PART	True	1	1	1	ك و ن	PV:I	1	1.0	1.0	0.0	1	True
أ ت ي	PV:I	True	59	76	54	ح د ث	NOUN_ABSTRACT	5	0.066	0.085	5.539	32	False
أ ت ي	PV:IV	True	115	172	87	ك ت ب	NOUN_CONCRETE	25	0.145	0.217	5.778	45	False
أ ت ي	PV_PASS:I	True	33	39	14	ك ت ب	NOUN_CONCRETE	14	0.359	0.424	3.008	15	False
أ ت ي	PV_PASS:IV	True	26	29	12	ك ت ب	NOUN_CONCRETE	10	0.345	0.385	3.01	17	False
أ ث ث	NOUN_CONCRETE	True	2	5	4	ص و ف	NOUN_CONCRETE	2	0.4	1.0	1.922	2	True
أ ث ر	IV:IV	True	3	4	4	ح ب ب	IV:IV	1	0.25	0.333	2.0	3	True
أ ث ر	IV_PASS:IV	True	1	1	1	س ح ر	GERUND	1	1.0	1.0	0.0	1	True
أ ث ر	NOUN_ABSTRACT	True	11	15	13	أ ر ض	NOUN_CONCRETE	2	0.133	0.182	3.64	8	False
أ ث ر	NOUN_CONCRETE	True	2	2	2	ب خ ع	NOUN_ACTIVE_PART	1	0.5	0.5	1.0	1	True
أ ث ر	PV:I	True	1	1	1	ن ق ع	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ ث ر	PV:IV	True	2	3	3	أ ل ه	NOUN_PROP	1	0.333	0.5	1.585	2	True
أ ث ل	NOUN_CONCRETE	True	1	1	1	خ م ط	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
