decision_id	grammar_ref	expected_trace_status	trace_type	trace_status	trace_rule_id	trace_evidence	masaq_refs	masaq_segment_count	alignment_group_id	grammar_order_within_group	masaq_order_within_group	masaq_source_status	masaq_full_surface_ar	masaq_stems	masaq_tags	masaq_roles	masaq_roots_ar	masaq_source_lines	masaq_source_statuses	reason	review_status	reviewed_on
QMT-D001	7:169:45	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	7:169:45	1	7:169:45	1	1	reviewed-materialized	أَفَلَا	أ	INTERROG	PART_INTERROG		55	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-fa-la; the legacy strict-clitic rule incorrectly expected fa and dropped it.	accepted	2026-09-02
QMT-D002	10:3:30	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	10:3:30	1	10:3:30	1	1	reviewed-materialized	أَفَلَا	أ	INTERROG	PART_INTERROG		40	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-fa-la; adjacent source order and surface make the identity unique.	accepted	2026-09-02
QMT-D003	10:31:33	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	10:31:33	1	10:31:33	1	1	reviewed-materialized	أَفَلَا	أ	INTERROG	PART_INTERROG		43	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-fa-la; adjacent source order and surface make the identity unique.	accepted	2026-09-02
QMT-D004	13:31:21	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	13:31:21	1	13:31:21	1	1	reviewed-materialized	أَفَلَمْ	أ	INTERROG	PART_INTERROG		31	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-fa-lam; the legacy strict-clitic rule incorrectly expected fa.	accepted	2026-09-02
QMT-D005	23:32:14	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	23:32:14	1	23:32:14	1	1	reviewed-materialized	أَفَلَا	أ	INTERROG	PART_INTERROG		24	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-fa-la; adjacent source order and surface make the identity unique.	accepted	2026-09-02
QMT-D006	23:87:5	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	23:87:5	1	23:87:5	1	1	reviewed-materialized	أَفَلَا	أ	INTERROG	PART_INTERROG		15	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-fa-la; adjacent source order and surface make the identity unique.	accepted	2026-09-02
QMT-D007	27:42:5	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	27:42:5	1	27:42:5	1	1	reviewed-materialized	أَهَكَذَا	أ	INTERROG	PART_INTERROG		15	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-ha-kadha; the old surface rule skipped the one-letter segment.	accepted	2026-09-02
QMT-D008	28:72:21	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	28:72:21	1	28:72:21	1	1	reviewed-materialized	أَفَلَا	أ	INTERROG	PART_INTERROG		31	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-fa-la; adjacent source order and surface make the identity unique.	accepted	2026-09-02
QMT-D009	29:10:32	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	29:10:32	1	29:10:32	1	1	reviewed-materialized	أَوَلَيْسَ	أ	INTERROG	PART_INTERROG		42	reviewed-materialized	Raw MASAQ contains the leading interrogative hamza of a-wa-laysa; the old surface rule skipped the one-letter segment.	accepted	2026-09-02
QMT-D010	50:15:1	unresolved	1:1	reviewed-alignment	reviewed-raw-masaq-segment-v1	raw_masaq_interrogative_segment_and_ayah_order	50:15:1	1	50:15:1	1	1	reviewed-materialized	أَفَعَيِينَا	أ	INTERROG	PART_INTERROG		11	reviewed-materialized	Raw MASAQ contains the initial interrogative hamza; the old surface rule skipped the one-letter segment.	accepted	2026-09-02
QMT-D011	72:16:2	unresolved	1:1	reviewed-alignment	reviewed-assimilated-complementizer-v1	raw_masaq_an_segment_and_ayah_order	72:16:2	1	72:16:2	1	1	reviewed-materialized	وَأَنْلَوِ	أن	INF_ANNUL_PART	SUBOR_ANN_CONJ		12	reviewed-materialized	Raw MASAQ contains an before law; the grammar surface preserves only its visible assimilated onset, but source order and function are unique.	accepted	2026-09-02
QMT-D012	9:120:40	heuristic-unreviewed	1:1	reviewed-alignment	reviewed-uthmani-hamza-seat-v1	same_ayah_order_and_consonantal_surface	9:120:40	1	9:120:40	1	1	bundle-materialized	يَطَئُونَ	طئ	IV	IV	ط و ي	50	bundle-materialized	The two spellings are the same ordered imperfect verb occurrence; hamza-seat and Uthmani marks account for the surface difference, independent of the MASAQ root annotation.	accepted	2026-09-02
QMT-D013	26:205:1	heuristic-unreviewed	1:1	reviewed-alignment	reviewed-compound-clitic-span-v1	masaq_conjunction_is_contained_in_same_ordered_compound	26:205:1	1	26:205:1	1	1	bundle-materialized	أَفَرَأَيْتَ	ف	CONJ	CONJ	ف ي أ	11	bundle-materialized	The analysis unit a-fa contains the MASAQ conjunction fa plus its interrogative onset in the same compound and immediately precedes the stem analysis.	accepted	2026-09-02
QMT-D014	17:28:12	heuristic-unreviewed	rejected	rejected-source-defect	reviewed-duplicate-analysis-source-defect-v1	duplicate_qul_cannot_map_to_masaq_lam		0	17:28:rejected:12	1		rejected-source-defect								This released analysis unit duplicates 17:28:11 qul and was incorrectly paired with the preposition lam of lahum; retain it only for audit and exclude it from reader links.	accepted	2026-09-02
QMT-D015	17:28:13	exact	complex	reviewed-alignment	reviewed-repair-lahum-span-v1	adjacent_masaq_preposition_and_pronoun_form_single_grammar_unit	17:28:12|17:28:13	2	17:28:repair:12-13	1	1|2	reviewed-materialized	لَهُمْ|لَهُمْ	ل|هم	PREP|PRON	PREP|PREP_OBJ	|	22|23	reviewed-materialized|reviewed-materialized	The grammar and analysis unit lahum spans the MASAQ preposition lam and plural object pronoun; this replaces the shifted legacy edge from duplicate qul.	accepted	2026-09-02
