strong	27:56	Near-verbatim Loṭ account: collective answer frames purification as grounds for expulsion.
weak	7:73	An adjacent community-warning episode, but it adds no clear response, expulsion, or purification parallel.
medium	47:13	Adds a distinct expulsion-from-settlement frame, though not the focus account's collective reply.
medium	29:24	Parallel formula shows a people answering a challenge with elimination rather than engagement.
weak	7:74	Settlement and corruption context is remote from the focus response.
weak	3:172	A constructive response after injury supplies only a broad counterpoint to refusal.
weak	29:29	The Loṭ setting and evasive answer are relevant, but 27:56 already supplies the sharper parallel.
weak	7:75	Shows internal division around a messenger, without the focus's expulsion or purity charge.
medium	5:41	Purification is tied to distorted reception and group conduct, not to the focus expulsion.
weak	43:54	Collective obedience to a leader is a broad power-dynamics parallel only.
weak	7:76	Continues rejection in the Thamūd account but adds no focus-specific element.
weak	8:9	A positive answering relation is a secondary counterpoint to the hostile answer in 7:82.
medium	7:88	Directly parallels elite-led expulsion from a town to enforce communal conformity.
weak	7:77	Defiant demand after a sign is only a broad refusal-to-answer parallel.
weak	49:5	Its boundary around entering and leaving preserves agency; the contrast route is not positive support.
medium	21:74	Places Loṭ's rescue outside a corrupt town, supplying outcome context rather than the reply itself.
weak	7:78	Aftermath in a neighboring account; no distinct contribution to 7:82.
weak	56:79	Purification language is detached from the focus's social exclusion.
weak	9:56	Membership claims and fear offer only distant community-boundary context.
weak	7:79	Completion of Ṣāliḥ's warning episode is structurally parallel but not specific to 7:82.
no value	20:53	The unrendered contrast is not evidence for the focus reading.
weak	3:147	A collective utterance with the same formula provides a formal, not thematic, parallel.
medium	7:80	Immediate antecedent: identifies the accusation to which 7:82 is the people's response.
weak	29:31	Loṭ's town is named for wrongdoing, but the expulsion response remains absent.
weak	21:11	Destroyed-town motif is too general after the closer Loṭ materials.
medium	7:81	Immediate antecedent further specifies the accusation answered in 7:82.
no value	43:11	No usable route beyond a remote emergence motif.
weak	7:160	Shared people/settlement vocabulary does not clarify the focus response.
medium	7:83	Immediate consequence distinguishes the rescued household from the remaining town.
medium	51:35	Selective removal of believers supplies a meaningful inverse to the town's attempted removal.
weak	2:246	Expulsion from homes is a different conflict setting and adds little after earlier expulsion parallels.
medium	7:84	Immediate punitive aftermath completes the focus episode but does not interpret the reply further.
weak	80:14	Purification wording is detached from social exclusion.
weak	2:60	Shared people vocabulary and provisioning do not clarify 7:82.
weak	7:85	Another town-address and reform call; only broad pericope context.
weak	3:42	Purification as designation is a secondary semantic parallel, not a communal accusation.
weak	74:4	Purification imperative is too different in scope and setting.
weak	7:86	Town-based obstruction offers a broad analogue of communal coercion.
no value	25:51	The retained route is only a weak auxiliary possibility and adds no focus-specific relation.
medium	3:195	Expulsion from homes is recognized within accountability, but the focus's hostile reply is absent.
weak	7:87	Internal split before judgment is nearby context but redundant with the following Shūʿayb conflict.
weak	79:31	Emergence imagery is not a useful relation to the focus's expulsion.
no value	17:71	No clear response, expulsion, or purification connection.
weak	7:89	Refusal to return to a communal norm parallels resistance to coerced conformity.
medium	14:5	Constructive bringing-out from darkness provides an inverse directional frame to coercive expulsion.
weak	21:90	Answered supplication is only a broad positive counterpoint to the hostile answer.
weak	7:90	Elite pressure against following a messenger parallels group enforcement, without expulsion.
medium	65:11	V12's positive inverse frames bringing believers out as liberation rather than coercive displacement.
weak	33:53	Purity and access boundaries are relevant only as a contrasting regulated boundary.
weak	7:91	Aftermath in the Shūʿayb account adds no new focus-specific evidence.
