medium	39:8	Its crisis invocation followed by associating partners illuminates the idolatrous allegiance behind the crowd's defense.
no value	21:91	The sign in Mary and Jesus does not clarify the crowd's rush toward Abraham.
medium	12:71	A group turns toward others to question an alleged loss, offering a limited confrontation parallel.
strong	21:25	The universal prophetic proclamation of God's sole divinity directly frames Abraham's challenge to idol worship.
strong	37:91	Abraham's approach to the idols immediately initiates the sequence that provokes the crowd's rush.
no value	28:52	Belief in a prior scripture does not illuminate this idol-defense scene.
medium	11:62	A prophet's people resist his call by appealing to inherited worship, closely matching the crowd's loyalties.
strong	37:93	The blow upon the idols is the immediate precipitating act for 37:94.
weak	37:27	Mutual turning for questioning shares group confrontation but not the defense of idols.
strong	11:78	Lot's people come rushing toward him in a hostile collective movement, a close scene and action parallel.
weak	36:21	Following a rightly guided messenger contrasts broadly with the crowd's movement against Abraham.
weak	37:50	The reciprocal questioning of the blessed is a distant formal parallel to collective turning.
no value	40:3	Forgiveness, repentance, and return to God do not clarify the scene.
strong	37:92	Abraham's question to the speechless idols immediately precedes the crowd's reaction.
no value	52:25	The blessed questioning one another does not clarify the hostile rush.
no value	80:21	Burial after death has no material connection to the focus.
weak	36:48	Mocking a promised event shares resistance to warning but not the crowd's concrete response.
medium	68:30	A group turns upon itself in blame after failure, providing a related picture of collective reaction under exposure.
medium	37:90	The people's turning away from Abraham sets the immediate narrative condition for his action at the idols.
strong	37:95	Abraham's ensuing rebuke directly names the worship whose defense drove the crowd toward him.
medium	28:31	Moses is told to turn back rather than flee, a meaningful directional contrast to the crowd's rushing advance.
strong	37:70	Their rushing along ancestral tracks explains the inherited, unreflective commitment expressed in 37:94.
no value	37:42	The paradise provision does not clarify the crowd or the idols.
weak	23:83	Dismissing a recurring warning as ancient tales only broadly resembles resistance to prophetic truth.
weak	68:23	A group setting out in secret offers only a loose collective-motion parallel.
medium	39:15	The warning against worshipping others directly exposes the false allegiance motivating the crowd.
no value	12:26	The evidentiary test in Joseph's case does not clarify this scene.
weak	100:4	The image of a charge raising dust supplies only a physical echo of rapid movement.
strong	37:96	God's creation of the people and what they make directly answers their devotion to crafted idols.
weak	18:55	Refusal to believe until punishment comes face to face is a distant resistance parallel.
no value	53:10	The revelation to the servant does not clarify the crowd's action.
no value	37:44	Paradise seating face to face has no material relation to the hostile approach.
no value	56:16	Paradise seating face to face has no material relation to the hostile approach.
weak	44:59	Mutual waiting carries a limited confrontation posture without the focus's action or cause.
medium	26:69	The introduction to Abraham's account opens the parallel narrative containing his contest with idol worship.
weak	51:29	The wife's agitated approach is a remote movement parallel in a different scene.
weak	68:25	The determined group's advance is only a loose parallel to collective rushing.
strong	37:97	The crowd's plan to burn Abraham is the direct escalation following its rush toward him.
medium	70:36	Disbelievers crowding eagerly toward the messenger closely parallels hostile bodies converging on a prophetic figure.
weak	24:49	Coming submissively when judgment favors them contrasts with the crowd's partisan advance.
no value	37:53	The question about resurrection and requital does not clarify the focus.
medium	6:111	Even direct, assembled signs need not overcome refusal, sharpening the irrationality of defending powerless idols.
weak	68:21	The group's morning call is only a loose collective-action parallel.
weak	5:15	Revelation that exposes concealed material broadly contrasts with the crowd's attachment to false worship.
no value	15:47	Reconciled brothers facing one another in paradise do not clarify the scene.
weak	9:57	The impulse to rush toward a refuge shares movement but not its idolatrous confrontation.
strong	37:98	God's reversal of the plot completes the hostile action that begins with the rush in 37:94.
medium	17:92	Demanding God and angels appear before them shows a similar insistence on direct, controllable proof.
no value	2:156	Returning to God amid affliction does not clarify the focus.
medium	37:71	The preceding peoples' misguidance situates the crowd's inherited idol loyalty in its wider pattern.
weak	46:24	Mistaking an approaching cloud for benefit loosely parallels misreading what stands before a people.
weak	6:36	Only those who hear respond, offering a broad contrary frame to the crowd's deaf defense of idols.
weak	47:27	The striking of faces and backs echoes violence but not the idol confrontation.
