record_type	focus_ref	target_ref	focus_direction_label	source_direction_label	source_focus_ref	source_target_ref	source_target_component_ref	relation_scope	source_column_order	source_row_role	source_note	source_file	source_line	source_row_sha256
directional_review	24:2	24:3	strong	strong	24:2	24:3	24:3	same_surah	label_target_note	ranked_review	Continues the adultery ruling by addressing the resulting marriage relation and its prohibition for believers.	focus_24_2_cutoff_100.tsv	1	20004b5aa082123ecf500e3862e2829fe0ea9d88b7c192b5a60c9d967c6cd38a
directional_review	24:2	36:53	weak	weak	24:2	36:53	36:53	cross_surah	label_target_note	ranked_review	A gathered assembly is only a distant echo of the limited witnessing required for the punishment.	focus_24_2_cutoff_100.tsv	2	a788d2c3bea54cbe093dc5c5ba8aad22110230e14da06cc1fd1749130f9b6609
directional_review	24:2	3:98	medium	medium	24:2	3:98	3:98	cross_surah	label_target_note	ranked_review	Divine witness to deeds supports the focus ayah's treatment of wrongdoing as accountable conduct.	focus_24_2_cutoff_100.tsv	3	17f7c30b85d4df03d04f27ed96530b78901eb94a7d5ae344941d804bf5775add
directional_review	24:2	4:59	medium	medium	24:2	4:59	4:59	cross_surah	label_target_note	ranked_review	Links obedience, revealed authority, and the Last Day, framing the ruling as part of accountable submission.	focus_24_2_cutoff_100.tsv	4	bea12c8684e4bde560d7ff20e1c2333b305ff8d9e3ea15a57861c34bf20e1843
directional_review	24:2	24:1	medium	medium	24:2	24:1	24:1	same_surah	label_target_note	ranked_review	Introduces this surah as a set of imposed, clarifying verses, giving the following sanction its legislative frame.	focus_24_2_cutoff_100.tsv	5	11a71d6a9352441d73209dd8cc10cf75140ea50319d6e0041476a6d206e67228
directional_review	24:2	7:94	weak	weak	24:2	7:94	7:94	cross_surah	label_target_note	ranked_review	Shows affliction as a summons to humility, a broad and indirect counterpart to corrective punishment.	focus_24_2_cutoff_100.tsv	6	50917720032d9fd4839a2036fcba17d4da74da8fadc58993fa1f13e227f34366
directional_review	24:2	65:2	medium	medium	24:2	65:2	65:2	cross_surah	label_target_note	ranked_review	Its command for upright witnesses in a legal transition clarifies public testimony as a guarded procedure.	focus_24_2_cutoff_100.tsv	7	aadae47b65d6aad90c32f34df8a7140c7a0f2f042c7e2d70bb26b4d9e86a6890
directional_review	24:2	24:7	medium	medium	24:2	24:7	24:7	same_surah	label_target_note	ranked_review	Completes the husband's oath sequence with divine curse, showing the grave consequence attached to contested sexual claims.	focus_24_2_cutoff_100.tsv	8	54a2a59e8272a07c98d7f9af3c43b21499a45331698777acff4dcee9f7c31ee9
directional_review	24:2	3:18	weak	weak	24:2	3:18	3:18	cross_surah	label_target_note	ranked_review	Connects witness with justice under divine authority, but not with a legal evidentiary process.	focus_24_2_cutoff_100.tsv	9	ba7714c26736d722c4680aae9f14b068b404be250e845687742e5e9cf93a2077
directional_review	24:2	8:65	no value	no value	24:2	8:65	8:65	cross_surah	label_target_note	ranked_review	Its battle ratios and repeated hundred are numerical only and do not clarify the sanction.	focus_24_2_cutoff_100.tsv	10	4f61e5672e367aad2b42a79196de951bec5a485bc93c95cc56423350567e8038
directional_review	24:2	24:13	strong	strong	24:2	24:13	24:13	same_surah	label_target_note	ranked_review	States the four-witness threshold for a sexual accusation, directly illuminating the focus ayah's public witness requirement.	focus_24_2_cutoff_100.tsv	11	cbfacc76efcf3f8636b8f788d0377cd19319650f6f9b605180c645dba0da530c
directional_review	24:2	1:4	medium	medium	24:2	1:4	1:4	cross_surah	label_target_note	ranked_review	Names the Day of Recompense, directly grounding the focus ayah's appeal to belief in the Last Day.	focus_24_2_cutoff_100.tsv	12	74e940659f912893856684e8643f0caa33e9fdd63bb95e10400259e8bb07f196
directional_review	24:2	9:29	weak	weak	24:2	9:29	9:29	cross_surah	label_target_note	ranked_review	Relates faith, prohibition, and religion in a different coercive setting, without clarifying this sexual penalty.	focus_24_2_cutoff_100.tsv	13	6bd94990d55c41534fff18a50375d4d053f8d8e8b7a4842559a66de7551fabd3
directional_review	24:2	8:66	medium	medium	24:2	8:66	8:66	cross_surah	label_target_note	ranked_review	Authorized easing after recognizing weakness offers a secondary boundary for the focus ayah's warning against misplaced pity.	focus_24_2_cutoff_100.tsv	14	f5b26ea2ba13ed081d5378389275fb066e1a6860e0bf4783fa6498020ba9b252
directional_review	24:2	85:3	medium	medium	24:2	85:3	85:3	cross_surah	label_target_note	ranked_review	Condenses the relation of witness and witnessed, but adds no procedural detail beyond later testimony verses.	focus_24_2_cutoff_100.tsv	15	831e11daa158607aca42c65b4c67e935059be586a6423435e8caf30faec8ce31
directional_review	24:2	24:4	strong	strong	24:2	24:4	24:4	same_surah	label_target_note	ranked_review	Parallels the measured flogging and witness issue for unproven sexual accusation, defining a neighboring evidentiary safeguard.	focus_24_2_cutoff_100.tsv	16	b85af02ed7e0c33e3ef1012d45a927c4bfc19d4354ada694b6fe5d35064fffa0
directional_review	24:2	24:8	strong	strong	24:2	24:8	24:8	same_surah	label_target_note	ranked_review	Shows four sworn testimonies averting a woman's punishment, directly balancing the focus ayah's public sanction with procedure.	focus_24_2_cutoff_100.tsv	17	5e243dda9a46127307898d7d212621b2fccc9995b4bdd45ab83db1d171fcac9d
directional_review	24:2	109:6	medium	medium	24:2	109:6	109:6	cross_surah	label_target_note	ranked_review	Separates religious commitments and their consequences, supporting the focus ayah's appeal to din and accountability.	focus_24_2_cutoff_100.tsv	18	bf58bfd50955ace44cb54df8356c64dabd6cfdc3dc318223b919e9a552a58618
directional_review	24:2	9:122	medium	medium	24:2	9:122	9:122	cross_surah	label_target_note	ranked_review	Its designated group from each community gives a useful parallel for a limited, functional public body.	focus_24_2_cutoff_100.tsv	19	fc0d0f1309aa241c528658765d226e8d7131cea5ebce5d3ad7705a35d244d669
