unit_id	row_kind	source_pass	source_rtype	source_local_id	sura	ayah	support_unit_id	support_type	anchor_wid	anchor_unit_id	clause_raw	clause_unit_id	attachment_raw	attachment_unit_ids	frame_raw	frame_unit_id	xref_raw	xref_unit_ids	implicit_raw	implicit_unit_ids	ellipsis_raw	ellipsis_unit_ids	choice_set_raw	choice_set_unit_id	role	scope	force	construction	source	window	window_relation	window_scope	related_wids	related_word_unit_ids	related_clauses	related_unresolved_wids	related_clause_unit_ids	related_xref_unit_ids	related_unresolved_refs	reading	status	confidence	evidence	translation_instruction	risk	reason
ae:v3:s001:001:pass3:support:t1	support	pass3	SUPPORT	t1	1	1	ae:v3:s001:001:pass3:support:t1	ellipsis_projection	1	q:1:1:1											e1	ae:v3:s001:001:pass2:ellip:e1																			strongly_licensed	medium	formulaic_construction;local_syntax	preserve_compression_if_target_language_allows	Target language may be tempted to supply an opening verb or predicate, but the Arabic keeps the governing element unspoken.	Pass 2 marks بِسْمِ as formulaic ellipsis with an unspoken governing verbal or predicative element.
ae:v3:s001:001:pass3:support:t2	support	pass3	SUPPORT	t2	1	1	ae:v3:s001:001:pass3:support:t2	construction_unit	1	q:1:1:1			a1	ae:v3:s001:001:pass1:attach:a1														bismillah_formula	preposition plus genitive naming formula												strongly_licensed	high	formulaic_construction;case_government	avoid_lexicalizing_particle_twice	Word-by-word rendering may duplicate the prepositional force or turn the formula into a full clause not overtly present.	Pass 1 a1 marks سْمِ as governed by prefixed بِ in the fixed formula بِسْمِ.
ae:v3:s001:002:pass3:support:t1	support	pass3	SUPPORT	t1	1	2	ae:v3:s001:002:pass3:support:t1	construction_unit			c1	ae:v3:s001:002:pass1:clause:c1	a2	ae:v3:s001:002:pass1:attach:a2														nominal_praise_with_lam_predicate	definite gerund plus lām predicate												syntactically_forced	high	local_syntax;word_order	preserve_argument_role	Target language may recast the lām predicate as agency, but Arabic frames praise as a nominal predicate directed to God.	Pass 1 c1 marks ٱلْحَمْدُ as the nominal subject and a2 marks لِلَّهِ as the predicate relation.
ae:v3:s001:003:pass3:support:t1	support	pass3	SUPPORT	t1	1	3	ae:v3:s001:003:pass3:support:t1	context_window	1	q:1:3:1			a1	ae:v3:s001:003:pass1:attach:a1																1:2-4	short_window	intra_surah	1;2	q:1:3:1;q:1:3:2							strongly_licensed	medium	parallelism;cross_ayah_continuity	recommend_reading_window	Single-ayah rendering may treat the paired epithets as an independent fragment instead of continuing the surrounding divine description.	Pass 1 a1 marks the two genitive epithets as a paired appositional sequence, while the supplied word data ties their case to the praise sequence around 1:2-4.
ae:v3:s001:004:pass3:support:t1	support	pass3	SUPPORT	t1	1	4	ae:v3:s001:004:pass3:support:t1	construction_unit	1	q:1:4:1			a1;a2	ae:v3:s001:004:pass1:attach:a1;ae:v3:s001:004:pass1:attach:a2														stacked_idafa	active participle plus double genitive chain												syntactically_forced	high	case_government;local_syntax	preserve_argument_role	Target language may need to preserve that يَوْمِ ٱلدِّينِ is governed through an iḍāfa chain rather than a separate temporal clause.	Pass 1 a1 marks يَوْمِ as the genitive complement of مَٰلِكِ and a2 marks ٱلدِّينِ as the genitive complement of يَوْمِ.
ae:v3:s001:004:pass3:support:t2	support	pass3	SUPPORT	t2	1	4	ae:v3:s001:004:pass3:support:t2	context_window	1	q:1:4:1			a1	ae:v3:s001:004:pass1:attach:a1																1:2-4	short_window	intra_surah	1;2;3	q:1:4:1;q:1:4:2;q:1:4:3							discourse_inferred	medium	cross_ayah_continuity;case_government	recommend_reading_window	Single-ayah rendering may detach مَٰلِكِ from the descriptive chain begun with ٱللَّهِ رَبِّ ٱلْعَٰلَمِينَ.	The genitive active participle in 1:4 continues the supplied divine epithet and appositional sequence across 1:2-4.
ae:v3:s001:005:pass3:support:t1	support	pass3	SUPPORT	t1	1	5	ae:v3:s001:005:pass3:support:t1	scope	1	q:1:5:1	c1	ae:v3:s001:005:pass1:clause:c1	a1	ae:v3:s001:005:pass1:attach:a1			r1	ae:v3:s001:005:pass2:xref:r1								restriction															strongly_licensed	high	word_order;case_government	preserve_scope	Target language may lose the exclusive focus if the fronted object is rendered as ordinary object order.	Pass 1 a1 marks إِيَّاكَ as the explicit object of نَعْبُدُ and places it before the verb.
ae:v3:s001:005:pass3:support:t2	support	pass3	SUPPORT	t2	1	5	ae:v3:s001:005:pass3:support:t2	scope	4	q:1:5:4	c2	ae:v3:s001:005:pass1:clause:c2	a2	ae:v3:s001:005:pass1:attach:a2			r2	ae:v3:s001:005:pass2:xref:r2								restriction															strongly_licensed	high	word_order;parallelism	preserve_scope	Target language may lose the repeated exclusive focus if the second fronted object is flattened into ordinary object order.	Pass 1 a2 marks the second إِيَّاكَ as the explicit object of نَسْتَعِينُ in the same fronted-object pattern.
ae:v3:s001:005:pass3:support:t3	support	pass3	SUPPORT	t3	1	5	ae:v3:s001:005:pass3:support:t3	construction_unit	3	q:1:5:3	c2	ae:v3:s001:005:pass1:clause:c2	a3	ae:v3:s001:005:pass1:attach:a3														coordinated_parallel_predicates	fronted object plus verb repeated across coordination												strongly_licensed	high	parallelism;local_syntax	preserve_scope	Target language should preserve the coordinated parallelism so worship and seeking help are not collapsed into one predicate.	Pass 1 c2 and a3 mark نَسْتَعِينُ as coordinated with نَعْبُدُ in a parallel fronted-object construction.
ae:v3:s001:005:pass3:support:t4	support	pass3	SUPPORT	t4	1	5	ae:v3:s001:005:pass3:support:t4	context_window	1	q:1:5:1							r1;r2	ae:v3:s001:005:pass2:xref:r1;ae:v3:s001:005:pass2:xref:r2												1:2-5	discourse_continuation	intra_surah	1;4	q:1:5:1;q:1:5:4							strongly_licensed	high	speech_role;cross_ayah_continuity	recommend_reading_window	The shift from third-person divine description to second-person address can be obscured if 1:5 is rendered without the preceding praise sequence.	Pass 2 r1 links the 2ms object pronoun to the named divine participant in 1:2, and r2 repeats the same addressee by parallelism.
