unit_id	source_pass	source_rtype	source_local_id	sura	ayah	type	anchor_wid	anchor_unit_id	part	agreement	referent_status	frame_raw	frame_unit_id	candidate_refs_raw	candidate_ref_unit_ids	status	confidence	evidence	translation_instruction	reason
ae:v3:s001:005:pass2:impl:i1	pass2	IMPL	i1	1	5	implicit_subject	2	q:1:5:2	subject_agreement	1cp	morphologically_present_unresolved	v1	ae:v3:s001:005:pass1:frame:v1			surface_form	high	morphology	do_not_resolve_in_default	نَعْبُدُ carries 1cp subject agreement; the speaker group is a discourse role not named by an NP in the registry.
ae:v3:s001:005:pass2:impl:i2	pass2	IMPL	i2	1	5	implicit_subject	5	q:1:5:5	subject_agreement	1cp	morphologically_present_unresolved	v2	ae:v3:s001:005:pass1:frame:v2			surface_form	high	morphology;parallelism	do_not_resolve_in_default	نَسْتَعِينُ carries the same 1cp subject agreement in the coordinated parallel clause; the speaker group remains grammatically present but unnamed.
ae:v3:s001:006:pass2:impl:i1	pass2	IMPL	i1	1	6	implicit_subject	1	q:1:6:1	subject_agreement	2ms	discourse_candidate_available	v1	ae:v3:s001:006:pass1:frame:v1			strongly_licensed	high	morphology;speech_role;cross_ayah_continuity	target_language_may_require_resolution	The imperative ٱهْدِ has a 2ms implicit subject, continuing the direct addressee marked by إِيَّاكَ in 1:5 and grounded in the named divine participant of the opening.
ae:v3:s001:007:pass2:impl:i1	pass2	IMPL	i1	1	7	implicit_subject	3	q:1:7:3	subject_agreement	2ms	discourse_candidate_available	v1	ae:v3:s001:007:pass1:frame:v1			strongly_licensed	high	morphology;speech_role;cross_ayah_continuity	target_language_may_require_resolution	أَنْعَمْتَ carries a 2ms implicit subject and continues the same direct addressee established by إِيَّاكَ and the imperative ٱهْدِ.
ae:v3:s002:003:pass2:impl:i1	pass2	IMPL	i1	2	3	implicit_subject	2	q:2:3:2	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:003:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	يُؤْمِنُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:003:pass2:impl:i2	pass2	IMPL	i2	2	3	implicit_subject	6	q:2:3:6	subject_agreement	3mp	morphologically_present_unresolved	v2	ae:v3:s002:003:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	يُقِيمُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:003:pass2:impl:i3	pass2	IMPL	i3	2	3	implicit_subject	10	q:2:3:10	subject_agreement	1cp	morphologically_present_unresolved	v3	ae:v3:s002:003:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	رَزَقْنَٰهُمْ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:003:pass2:impl:i4	pass2	IMPL	i4	2	3	implicit_subject	11	q:2:3:11	subject_agreement	3mp	morphologically_present_unresolved	v4	ae:v3:s002:003:pass1:frame:v4			surface_form	high	morphology;agreement	preserve_argument_role	يُنفِقُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:004:pass2:impl:i1	pass2	IMPL	i1	2	4	implicit_subject	3	q:2:4:3	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:004:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	يُؤْمِنُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:004:pass2:impl:i2	pass2	IMPL	i2	2	4	implicit_agent	6	q:2:4:6	passive_voice	passive_agent_unexpressed	morphologically_present_unresolved	v2	ae:v3:s002:004:pass1:frame:v2			surface_form	high	morphology;local_syntax	avoid_adding_recovered_text	أُنزِلَ is analyzed by Pass 1 as passive with obj=none_passive; the agent is grammatically unexpressed.
