decision_id	grammar_ref	qac_morpheme_refs	decision_type	reason	review_status	reviewed_on
QMB-D001	3:144:12	3:144:10:3	orthographic-exception	The source conditional particle إِنْ corresponds to the QAC Uthmani spelling إِي۟ن in the same compound word.	accepted	2026-09-02
QMB-D002	21:34:10	21:34:7:3	orthographic-exception	The source conditional particle إِنْ corresponds to the QAC Uthmani spelling إِي۟ن in the same compound word.	accepted	2026-09-02
QMB-D003	3:193:6	3:193:6:1	identical-letter-disambiguation	The source grammar identifies this لِ as the governing preposition; QAC 3:193:6:2 is the assimilated article and has no source analysis unit here.	accepted	2026-09-02
QMB-D004	12:81:21	12:81:16:1	identical-letter-disambiguation	The source unit is the governing preposition, not the following assimilated definite article.	accepted	2026-09-02
QMB-D005	12:81:22	12:81:16:2|12:81:16:3	assimilated-article-span	The source noun is explicitly analyzed as definite after li plus the definite article, so it links to the QAC article and noun stem.	accepted	2026-09-02
QMB-D006	14:41:8	14:41:5:2|14:41:5:3	assimilated-article-span	The source unit explicitly analyzes preposition lām plus assimilated definite article al-.	accepted	2026-09-02
QMB-D007	14:41:9	14:41:5:3|14:41:5:4	assimilated-article-span	The source noun is explicitly analyzed as definite with al-, so the shared QAC article endpoint is retained.	accepted	2026-09-02
QMB-D008	21:48:13	21:48:8:1	identical-letter-disambiguation	The source unit is the governing preposition, not the assimilated article.	accepted	2026-09-02
QMB-D009	21:48:14	21:48:8:2|21:48:8:3	assimilated-article-span	The noun belongs to the lil-muttaqin orthographic word; the source surface omits the assimilated article that QAC represents separately.	accepted	2026-09-02
QMB-D010	25:21:19	25:21:17:1	identical-letter-disambiguation	The source grammar identifies this وَ as the conjunction prefix; the later waw is part of the omitted plural verb analysis.	accepted	2026-09-02
QMB-D011	50:25:2	50:25:2:1	identical-letter-disambiguation	The source unit is the governing preposition, not the assimilated definite article.	accepted	2026-09-02
QMB-D012	50:25:3	50:25:2:2|50:25:2:3	assimilated-article-span	The source noun is explicitly analyzed as definite with al-, so it links to the QAC article and noun stem.	accepted	2026-09-02
QMB-D013	92:13:4	92:13:3:1	identical-letter-disambiguation	The source grammar identifies this لَ as emphatic lām, not the following definite article.	accepted	2026-09-02
QMB-D014	92:13:5	92:13:3:2|92:13:3:3	assimilated-article-span	The source noun is explicitly analyzed as definite with al-, so it links to the QAC article and noun stem.	accepted	2026-09-02
QMB-D015	93:4:2	93:4:1:2	identical-letter-disambiguation	The source grammar identifies this لَ as emphatic lām, not the following definite article.	accepted	2026-09-02
QMB-D016	93:4:3	93:4:1:3|93:4:1:4	assimilated-article-span	The source noun is explicitly analyzed as definite via al-, so it links to the QAC article and noun stem.	accepted	2026-09-02
