root_arabic	form_tag	form_tag_available	instance_count	narration	in_quoted	imperative	in_supplication	in_interrogative	vocative	narration_ratio	in_quote_ratio	imperative_ratio	legacy_direct_speech	legacy_discourse_dist	batch_count	low_occurrence
أ ب ب	NOUN_CONCRETE	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ب د	ADV	True	28	22	6	0	1	0	0	0.786	0.214	0.0	0	{}	15	False
أ ب ق	PV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ب ل	NOUN_CONCRETE	True	3	3	0	0	0	0	0	1.0	0.0	0.0	0	{}	3	True
أ ب و	IV:I	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ب و	NOUN_CONCRETE	True	79	43	36	0	7	0	8	0.544	0.456	0.0	0	{}	33	False
أ ب و	NOUN_FIVE	True	38	26	12	0	2	0	6	0.684	0.316	0.0	0	{}	17	False
أ ب و	PV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ب ي	IV:I	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ب ي	PV:I	True	8	8	0	0	0	0	0	1.0	0.0	0.0	0	{}	6	False
أ ت ي	CV:I	True	37	0	27	37	27	0	0	0.0	0.73	1.0	3	"{""direct-speech"": 3, ""oath"": 1}"	21	False
أ ت ي	CV:IV	True	33	0	6	33	6	0	0	0.0	0.182	1.0	3	"{""direct-speech"": 3, ""oath"": 1}"	17	False
أ ت ي	GERUND	True	3	3	0	0	0	0	0	1.0	0.0	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	3	True
أ ت ي	IV:I	True	168	128	35	0	5	7	0	0.762	0.208	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	51	False
أ ت ي	IV:IV	True	51	39	12	0	1	0	0	0.765	0.235	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	27	False
أ ت ي	IV_PASS:I	True	1	0	1	0	1	0	0	0.0	1.0	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	1	True
أ ت ي	IV_PASS:IV	True	6	3	3	0	0	0	0	0.5	0.5	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	5	False
أ ت ي	NOUN_ACTIVE_PART	True	13	11	2	0	0	0	0	0.846	0.154	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	11	False
أ ت ي	NOUN_PASSIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	1	True
أ ت ي	PV:I	True	59	45	7	0	0	7	0	0.763	0.119	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	32	False
أ ت ي	PV:IV	True	115	106	9	0	3	0	0	0.922	0.078	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	45	False
