unit_id	source_pass	source_rtype	source_local_id	sura	ayah	type	anchor_wid	anchor_unit_id	clause_raw	clause_unit_id	role	source_clause_raw	source_clause_unit_id	antecedent_clause_raw	antecedent_clause_unit_id	antecedent_wid	antecedent_word_unit_id	antecedent_start_wid	antecedent_end_wid	parallel_clause_raw	parallel_clause_unit_id	text	status	confidence	evidence	translation_instruction	reason
ae:v3:s001:001:pass2:ellip:e1	pass2	ELLIP	e1	1	1	formulaic_ellipsis	1	q:1:1:1			understood_formulaic_governing_element												strongly_licensed	medium	formulaic_construction;local_syntax	avoid_adding_recovered_text	بِسْمِ is a fixed prepositional opening formula whose governing verbal or predicative element is unspoken.
ae:v3:s003:002:pass2:ellip:e1	pass2	ELLIP	e1	3	2	omitted_predicate	2	q:3:2:2	c1	ae:v3:s003:002:pass1:clause:c1	existential_predicate												strongly_licensed	medium	formulaic_construction;local_syntax	preserve_compression_if_target_language_allows	The categorical negation formula has an understood existential predicate rather than a pronounced verb.
ae:v3:s003:006:pass2:ellip:e1	pass2	ELLIP	e1	3	6	omitted_predicate	8	q:3:6:8	c1	ae:v3:s003:006:pass1:clause:c1	existential_predicate												strongly_licensed	medium	formulaic_construction;local_syntax	preserve_compression_if_target_language_allows	The categorical negation formula has an understood existential predicate rather than a pronounced verb.
ae:v3:s003:018:pass2:ellip:e1	pass2	ELLIP	e1	3	18	omitted_predicate	4	q:3:18:4	c1	ae:v3:s003:018:pass1:clause:c1	existential_predicate												strongly_licensed	medium	formulaic_construction;local_syntax	preserve_compression_if_target_language_allows	The categorical negation formula has an understood existential predicate rather than a pronounced verb.
ae:v3:s004:003:pass2:ellip:e1	pass2	ELLIP	e1	4	3	ellipsis_after_particle	26	q:4:3:26			understood_object_of_apodosis												strongly_licensed	medium	parallelism;local_syntax	target_language_may_require_supplied_word	فَوَاحِدَةً is an apodosis fragment parallel to the preceding imperative construction, with the governing action recoverable from the nearby clause.
ae:v3:s007:012:pass2:ellip:e1	pass2	ELLIP	e1	7	12	ellipsis_in_comparison	10	q:7:12:10			compared_property												strongly_licensed	medium	comparative_construction;local_syntax	target_language_may_require_supplied_word	خَيْرٌ with following مِنْ licenses an elided standard/property of comparison.
ae:v3:s007:026:pass2:ellip:e1	pass2	ELLIP	e1	7	26	ellipsis_in_comparison	16	q:7:26:16			compared_property												strongly_licensed	medium	comparative_construction;local_syntax	target_language_may_require_supplied_word	خَيْرٌۭ with following مِنْ licenses an elided standard/property of comparison.
ae:v3:s008:014:pass2:ellip:e1	pass2	ELLIP	e1	8	14	omitted_predicate	1	q:8:14:1			content												strongly_licensed	medium	deixis;local_syntax	target_language_may_require_supplied_word	ذَٰلِكُمْ stands as a demonstrative nominal with the following ذُوقُوهُ supplying the punitive content.
ae:v3:s008:031:pass2:ellip:e1	pass2	ELLIP	e1	8	31	ellipsis_in_comparison	13	q:8:31:13			theme												strongly_licensed	medium	comparative_construction	target_language_may_require_supplied_word	مِثْلَ هَٰذَا uses a comparison where the compared utterance/content is compressed by the demonstrative.
ae:v3:s008:067:pass2:ellip:e1	pass2	ELLIP	e1	8	67	omitted_predicate			c1	ae:v3:s008:067:pass1:clause:c1	possessor												strongly_licensed	medium	local_syntax	target_language_may_require_supplied_word	مَا كَانَ لِنَبِىٍّ أَن يَكُونَ لَهُ أَسْرَىٰ uses the kāna-li construction with possession/entitlement compressed in the predicate.
ae:v3:s009:003:pass2:ellip:e1	pass2	ELLIP	e1	9	3	ellipsis_in_comparison	24	q:9:3:24			standard_of_comparison												strongly_licensed	high	comparative_construction;condition_apodosis	target_language_may_require_supplied_word	خَيْرٌ is comparative and leaves the compared alternative implicit, recoverable from the conditional contrast.
ae:v3:s009:004:pass2:ellip:e1	pass2	ELLIP	e1	9	4	ellipsis_in_exception	1	q:9:4:1			exception_scope_governor												discourse_inferred	medium	exception_particle;cross_ayah_continuity	preserve_compression_if_target_language_allows	The ayah opens with إِلَّا and relies on the preceding disavowal scope for the general term being excepted.
ae:v3:s009:008:pass2:ellip:e1	pass2	ELLIP	e1	9	8	omitted_predicate	1	q:9:8:1			interrogative_content_from_prior_question												discourse_inferred	medium	interrogative_continuity;cross_ayah_parallelism	preserve_compression_if_target_language_allows	كَيْفَ opens without an overt predicate and continues the interrogative frame established in 9:7.
ae:v3:s009:013:pass2:ellip:e1	pass2	ELLIP	e1	9	13	ellipsis_in_comparison	19	q:9:13:19			comparative_standard					16	q:9:13:16						strongly_licensed	medium	comparative_form;discourse_proximity	target_language_may_require_supplied_word	أَحَقُّ is comparative and the standard is recoverable from أَتَخْشَوْنَهُمْ without being repeated.
ae:v3:s009:018:pass2:ellip:e1	pass2	ELLIP	e1	9	18	ellipsis_in_exception	21	q:9:18:21			general_object_under_negation												strongly_licensed	medium	exception_particle;local_syntax	target_language_may_require_supplied_word	إِلَّا ٱللَّهَ occurs after negated يَخْشَ with the general object left unspoken.
ae:v3:s009:019:pass2:ellip:e1	pass2	ELLIP	e1	9	19	ellipsis_in_comparison	8	q:9:19:8			first_comparand_persons												discourse_inferred	medium	comparative_construction;local_syntax	target_language_may_require_supplied_word	كَـمَنْ compares service acts with a human relative comparand, so the persons associated with سِقَايَةَ and عِمَارَةَ are compressed.
