strong	26:117	Directly parallels a messenger presenting his people's completed denial to the Lord.
medium	45:33	The branch link carries the focus's falsification-and-ridicule theme into its later enclosing consequence.
weak	10:10	Shares a God-directed utterance and Lord language, but not the threatened public denial.
strong	28:33	Moses states the same mission danger in its concrete form: fear of being killed after the earlier death.
strong	26:14	Immediate continuation specifies the feared killing that accompanies the anticipated denial.
medium	8:54	Places Pharaoh's denial of the Lord's signs within a recurrent pattern that ends in destruction.
strong	28:34	Near-verbatim Moses parallel: he fears that the audience will call him a liar and requests Aaron's support.
medium	26:20	Continues the local exchange in which Moses must answer Pharaoh's accusatory framing.
medium	76:10	Shows fear voiced before the Lord as a motive for action, though its feared object is judgment rather than denial.
weak	71:5	A prophet reports persistent calling to the Lord, but the focus is outreach rather than the audience's denial.
no value	26:168	The separate qilla-game subchannel does not clarify Moses's fear of public falsification.
medium	39:13	Fear of disobeying the Lord is a distinct but relevant fear that governs prophetic speech and conduct.
strong	40:26	Pharaoh's stated fear of Moses frames the hostile power that answers the mission with a killing threat.
medium	7:124	The bridge carries the threatened violence in Moses's mission forward to the believers who accept it.
weak	55:13	Its generic question about denying the Lord's favors lacks the mission and public-response setting.
medium	84:22	Names active, ongoing denial, but without a messenger or the focus's immediate threat.
strong	26:49	Directly advances the bridge: Pharaoh's threat transfers from Moses to the new believers.
no value	53:49	The Lord's relation to Sirius has no material connection to the feared denial of the mission.
weak	11:47	A plea to the Lord shares the address form but not the public rejection or mission pressure.
strong	26:5	Immediate context shows the audience repeatedly turning away from renewed remembrance.
weak	55:42	The repeated denial formula is too general after the closer local instances.
medium	59:16	Its claimed fear of God is exposed as abandonment after inciting disbelief, a negative contrast to Moses's candid fear.
strong	26:6	Immediate continuation confirms their denial and links it to mockery of the warned consequence.
weak	55:49	The generic denial refrain adds no messenger-specific detail.
medium	83:11	Identifies people defined by denial, though the target is the Day of Judgment rather than Moses's message.
medium	16:127	The branch connection extends the focus's constricted-pressure scene to patient endurance under hostile plotting.
medium	77:15	Condemns deniers as a class, providing consequence-side context for the denial Moses anticipates.
strong	10:15	A messenger refuses demands to alter revelation and explicitly fears the Lord, closely paralleling contested public proclamation.
strong	26:50	The threatened believers answer Pharaoh by returning their allegiance to their Lord, completing the local reversal.
no value	100:11	Divine knowledge of people does not clarify the anticipated public denial or its response.
medium	9:77	Persistent lying produces hypocrisy, a related outcome of refusing truthful commitment but not a direct mission parallel.
medium	26:3	The same local sequence shows the prophet burdened by the audience's failure to believe.
weak	55:53	The generic denial refrain contributes no focused detail beyond earlier examples.
medium	2:10	Lying is tied to inner corruption, but this is not specifically denial of a prophetic mission.
no value	26:63	The separate qilla-game subchannel does not illuminate the fear of being called a liar.
medium	77:19	The repeated woe supplies a consequence for deniers without adding a messenger-response relation.
medium	6:80	Contrasts Moses's fear with a prophet's refusal to fear rival objects under the Lord's encompassing knowledge.
medium	7:127	The branch link shows Pharaoh's policy of coercion behind the mission's anticipated killing threat.
weak	55:69	The generic denial refrain remains remote from the feared rejection of a messenger.
strong	23:26	A prophet asks the Lord for help specifically because his people have called him a liar.
strong	26:51	The local believers express hope in their Lord after accepting the message despite Pharaoh's threat.
medium	77:24	The refrain marks deniers for judgment but is not tied to a particular message or messenger.
strong	23:39	Repeats the direct pattern of a prophet seeking the Lord's help because of public denial.
medium	26:4	The same local pressure sequence contrasts coercive submission with the unforced response at issue in Moses's mission.
medium	77:28	The recurring judgment of deniers gives broad consequence context only.
medium	6:15	Uses the same fear-of-the-Lord formulation, though it concerns disobedience rather than a hostile audience.
medium	26:18	Pharaoh invokes Moses's upbringing to discredit him, part of the local public contest Moses fears.
weak	36:27	The Lord's forgiveness and honor do not substantially clarify mission denial.
strong	26:135	A prophet fears a great day for his people, preserving the protective, forward-looking role of prophetic fear.
medium	21:36	The branch link connects ridicule of a messenger to the focus's falsification-and-mockery channel.
medium	77:34	The woe for deniers is relevant only at the general consequence level.
strong	20:45	Moses and Aaron state a closely related fear of Pharaoh's violent excess before receiving reassurance.
strong	26:13	Immediate continuation shows Moses's constricted chest and impaired speech, prompting the request for Aaron.
weak	46:13	The removal of fear and grief after steadfast faith is a distant positive counterpart.
medium	19:45	A prophet fears punishment for another person, a related protective use of fear with a different setting.
