strong	40:1	صيغة «حم» المطابقة في فاتحة أخرى.
medium	41:1	تكرار مطابق يؤكد نمط الفاتحة بعد 40:1.
medium	42:1	تكرار مطابق داخل السلسلة نفسها.
weak	43:1	تكرار مطابق، لكن الدلالة أضيفت سابقا.
weak	44:1	تكرار مطابق زائد بعد السوابق.
medium	29:1	فاتحة حروف مغايرة تدعم جنس الفواتح لا «حم» نفسها.
weak	2:1	صيغة حروف افتتاحية مغايرة، مع فائدة إضافية محدودة.
weak	30:1	صيغة حروف افتتاحية مغايرة، مع فائدة إضافية محدودة.
weak	31:1	صيغة حروف افتتاحية مغايرة، مع فائدة إضافية محدودة.
weak	26:1	فاتحة حروف مركبة مغايرة تدعم البنية العامة فقط.
weak	32:1	صيغة حروف افتتاحية مغايرة، مع فائدة إضافية محدودة.
weak	36:1	فاتحة بحروف مفردة مغايرة تدعم البنية العامة فقط.
medium	42:2	استكمال حروفي لـ42:1 يبرز إمكان تعدد أجزاء الفاتحة.
weak	20:1	فاتحة حروف مغايرة تدعم الجنس لا اللفظ المطابق.
weak	19:1	فاتحة حروف متعددة مغايرة تدعم الجنس لا «حم».
weak	46:1	تكرار مطابق، لكنه زائد بعد نظائره السابقة.
no value	70:10	«حميم» لفظ سياقي آخر لا صيغة الفاتحة.
no value	29:21	لا صلة نصية ظاهرة بفاتحة «حم».
no value	34:50	لا صلة نصية ظاهرة بفاتحة «حم».
no value	6:145	لا صلة نصية ظاهرة بفاتحة «حم».
no value	2:259	لا صلة نصية ظاهرة بفاتحة «حم».
weak	28:1	فاتحة حروف مركبة مغايرة، وفائدتها العامة مكررة.
weak	3:1	صيغة حروف افتتاحية مغايرة، مع فائدة إضافية محدودة.
weak	7:1	فاتحة حروف مركبة مغايرة، وفائدتها العامة مكررة.
no value	101:11	«حامية» وصف آخر لا صيغة الفاتحة.
no value	78:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	69:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	74:21	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:93	«حميم» لفظ سياقي آخر لا صيغة الفاتحة.
no value	83:20	لا صلة نصية ظاهرة بفاتحة «حم».
no value	83:9	تكرار داخلي للآية السابقة بلا صلة بفاتحة «حم».
no value	55:64	لا صلة نصية ظاهرة بفاتحة «حم».
no value	20:28	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:37	لا صلة نصية ظاهرة بفاتحة «حم».
no value	77:22	لا صلة نصية ظاهرة بفاتحة «حم».
no value	85:18	لا صلة نصية ظاهرة بفاتحة «حم».
no value	80:16	لا صلة نصية ظاهرة بفاتحة «حم».
no value	37:155	لا صلة نصية ظاهرة بفاتحة «حم».
no value	55:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	74:40	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:29	لا صلة نصية ظاهرة بفاتحة «حم».
no value	85:22	لا صلة نصية ظاهرة بفاتحة «حم».
no value	37:109	لا صلة نصية ظاهرة بفاتحة «حم».
no value	100:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	81:21	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:94	لا صلة نصية ظاهرة بفاتحة «حم».
no value	101:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	37:130	لا صلة نصية ظاهرة بفاتحة «حم».
no value	77:26	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:78	لا صلة نصية ظاهرة بفاتحة «حم».
no value	80:14	لا صلة نصية ظاهرة بفاتحة «حم».
no value	52:3	لا صلة نصية ظاهرة بفاتحة «حم».
no value	53:61	لا صلة نصية ظاهرة بفاتحة «حم».
no value	52:2	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:44	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:10	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:22	لا صلة نصية ظاهرة بفاتحة «حم».
no value	88:4	«حامية» وصف آخر لا صيغة الفاتحة.
no value	77:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	51:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	96:4	لا صلة نصية ظاهرة بفاتحة «حم».
no value	101:9	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:31	لا صلة نصية ظاهرة بفاتحة «حم».
no value	89:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	51:10	لا صلة نصية ظاهرة بفاتحة «حم».
no value	52:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	77:6	لا صلة نصية ظاهرة بفاتحة «حم».
no value	92:21	لا صلة نصية ظاهرة بفاتحة «حم».
no value	69:2	لا صلة نصية ظاهرة بفاتحة «حم».
no value	90:13	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:42	«حميم» لفظ سياقي آخر لا صيغة الفاتحة.
