morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s042-a000-w001-01	w-s042-a000-w001	1:1:1:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s042-a000-w001-02	w-s042-a000-w001	1:1:1:2	2	سْمِ	سْمِ	ٱسْم	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								GEN
m-w-s042-a000-w002-01	w-s042-a000-w002	1:1:2:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s042-a000-w003-01	w-s042-a000-w003	1:1:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s042-a000-w003-02	w-s042-a000-w003	1:1:3:2	2	رَّحْمَٰنِ	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s042-a000-w004-01	w-s042-a000-w004	1:1:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s042-a000-w004-02	w-s042-a000-w004	1:1:4:2	2	رَّحِيمِ	رَّحِيمِ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s042-a003-w001-01	w-s042-a003-w001	42:3:1:1	1	كَ					P	PREFIX	PREFIX|ka+								
m-w-s042-a003-w001-02	w-s042-a003-w001	42:3:1:2	2	ذَٰلِكَ	ذَٰلِكَ	ذَٰلِك			DEM	STEM	STEM|POS:DEM|LEM:*a`lik|MS						M	singular	
m-w-s042-a003-w002-01	w-s042-a003-w002	42:3:2:1	1	يُوحِىٓ	يُوحِىٓ	أَوْحَىٰٓ	و ح ي	وحي	V	STEM	STEM|POS:V|IMPF|(IV)|LEM:>awoHaY`^|ROOT:wHy|3MS	IMPF			IV	3	M	singular	
m-w-s042-a003-w003-01	w-s042-a003-w003	42:3:3:1	1	إِلَيْ	إِلَيْ	إِلَىٰ			P	STEM	STEM|POS:P|LEM:<ilaY`								
m-w-s042-a003-w003-02	w-s042-a003-w003	42:3:3:2	2	كَ					PRON	SUFFIX	SUFFIX|PRON:2MS					2	M	singular	
m-w-s042-a003-w004-01	w-s042-a003-w004	42:3:4:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a003-w004-02	w-s042-a003-w004	42:3:4:2	2	إِلَى	إِلَى	إِلَىٰ			P	STEM	STEM|POS:P|LEM:<ilaY`								
m-w-s042-a003-w005-01	w-s042-a003-w005	42:3:5:1	1	ٱلَّذِينَ	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP						M	plural	
m-w-s042-a003-w006-01	w-s042-a003-w006	42:3:6:1	1	مِن	مِن	مِن			P	STEM	STEM|POS:P|LEM:min								
m-w-s042-a003-w007-01	w-s042-a003-w007	42:3:7:1	1	قَبْلِ	قَبْلِ	قَبْل	ق ب ل	قبل	N	STEM	STEM|POS:N|LEM:qabol|ROOT:qbl|GEN								GEN
m-w-s042-a003-w007-02	w-s042-a003-w007	42:3:7:2	2	كَ					PRON	SUFFIX	SUFFIX|PRON:2MS					2	M	singular	
