root_arabic	form_tag	form_tag_available	instance_count	partner_root	partner_form_tag	attach_count	total_attach	pair_ratio	top_rel	rel_dist	batch_count	low_occurrence
أ ب ب	NOUN_CONCRETE	True	1	ف ك ه	NOUN_CONCRETE	1	1	1.0	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	1	True
أ ب د	ADV	True	28	خ ل د	NOUN_ACTIVE_PART	11	28	0.393	dep_of:adverbial	"{""dep_of:adverbial"": 11}"	15	False
أ ب د	ADV	True	28	م ن ي	IV:V	2	28	0.071	dep_of:adverbial	"{""dep_of:adverbial"": 2}"	15	False
أ ب د	ADV	True	28	ب د و	PV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ب ي د	IV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	خ ر ج	IV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	د خ ل	IV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ز ك و	PV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ص ل ي	IV:II	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ط و ع	IV:IV	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ع و د	IV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ف ل ح	IV:IV	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ق ب ل	IV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ق ل ب	IV:VII	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ق و م	IV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	م ك ث	NOUN_ACTIVE_PART	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ن ك ح	IV:I	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب د	ADV	True	28	ه د ي	IV:VIII	1	28	0.036	dep_of:adverbial	"{""dep_of:adverbial"": 1}"	15	False
أ ب ق	PV:I	True	1	ف ل ك	NOUN_CONCRETE	1	1	1.0	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	1	True
أ ب ل	NOUN_CONCRETE	True	3	ث ن ي	NOUN_NUM	1	2	0.5	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	3	True
أ ب ل	NOUN_CONCRETE	True	3	ن ظ ر	IV:I	1	2	0.5	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	3	True
أ ب و	IV:I	True	2	ش ه د	NOUN_CONCRETE	1	3	0.333	head_of:subject	"{""head_of:subject"": 1}"	1	True
أ ب و	IV:I	True	2	ك ت ب	IV:I	1	3	0.333	head_of:clausal_complement	"{""head_of:clausal_complement"": 1}"	1	True
أ ب و	IV:I	True	2	ك ت ب	NOUN_ACTIVE_PART	1	3	0.333	head_of:subject	"{""head_of:subject"": 1}"	1	True
أ ب و	NOUN_CONCRETE	True	79	و ج د	PV:I	9	91	0.099	dep_of:direct_object	"{""dep_of:direct_object"": 9}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ و ل	NOUN_NUM	8	91	0.088	head_of:adjective	"{""head_of:adjective"": 8}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ك و ن	PV:I	7	91	0.077	dep_of:subject	"{""dep_of:conjoined"": 1, ""dep_of:kana_predicate"": 1, ""dep_of:subject"": 5}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ع ب د	IV:I	6	91	0.066	dep_of:subject	"{""dep_of:subject"": 6}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ خ و	NOUN_CONCRETE	4	91	0.044	head_of:conjoined	"{""head_of:conjoined"": 4}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ب ر ه م	NOUN_PROP	3	91	0.033	head_of:apposition	"{""head_of:apposition"": 3}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ب ن ي	NOUN_CONCRETE	3	91	0.033	head_of:conjoined	"{""head_of:conjoined"": 3}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ز و ج	NOUN_CONCRETE	3	91	0.033	head_of:conjoined	"{""head_of:conjoined"": 3}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ ت ي	CV:I	2	91	0.022	dep_of:prep_complement	"{""dep_of:prep_complement"": 2}"	33	False
