unit_id	source_pass	source_rtype	source_local_id	sura	ayah	type	severity	anchor_wid	anchor_unit_id	frame_raw	frame_unit_id	xref_raw	xref_unit_id	implicit_raw	implicit_unit_id	reason
ae:v3:s001:007:pass1:issue:s1	pass1	ISSUE	s1	1	7	schema_limitation	warning	1	q:1:7:1							Ayah 1:7 is a cross-ayah appositional noun phrase; c1 is used only as a local host for the required relative-clause link.
ae:v3:s001:001:pass2:issue:sr_s1	pass2	ISSUE	sr_s1	1	1	coverage_uncertain	note	1	q:1:1:1							Pass 2b audit of short single-pericope S001 found no visible long-range participant-chain, frame-return, inclusio, or boundary-orphaned reference requiring an additive SR_XREF.
ae:v3:s001:001:pass2:issue:src_s1	pass2	ISSUE	src_s1	1	1	coverage_uncertain	note									No verbatim or near-verbatim surface refrain chain with 3+ instances was detected in S001; repeated formulas occur at most twice.
ae:v3:s001:007:pass3:issue:ts1	pass3	ISSUE	ts1	1	7	coverage_uncertain	warning	1	q:1:7:1							Pass 1 reports 1:7 as a cross-ayah appositional noun phrase and uses c1 only as a local host; support rows preserve the 1:6-7 window rather than treating 1:7 as independent.
ae:v3:s001:007:pass3:issue:ts2	pass3	ISSUE	ts2	1	7	translation_bias_risk	warning	2	q:1:7:2							The supplied Arabic evidence names descriptive groups, including ٱلَّذِينَ, ٱلْمَغْضُوبِ, and ٱلضَّآلِّينَ, but does not grammatically fix conventional external identities; preserve the Arabic descriptions unless supplied evidence fixes an identity.
ae:v3:s002:003:pass1:issue:s1	pass1	ISSUE	s1	2	3	source_data_unclear	warning	9	q:2:3:9							The text has وَمِمَّا but the word list provides مِنْ without a separate مَا token, so the governed partitive complement cannot be attached to a present word.
ae:v3:s002:041:pass1:issue:s1	pass1	ISSUE	s1	2	41	source_data_unclear	warning									The input word list has bare بِ at wid 14 where the Arabic text has بِهِ; no prep_complement was emitted because the pronoun object is not present as a word or segment in the input.
ae:v3:s002:060:pass1:issue:s1	pass1	ISSUE	s1	2	60	source_data_unclear	note	20	q:2:60:20							عَلِمَ is syntactically verbal here, but the input marks is_verb=false, so no FRAME row is emitted for it.
ae:v3:s002:099:pass1:issue:s1	pass1	ISSUE	s1	2	99	source_data_unclear	warning	11	q:2:99:11							The ayah text reads بِهَا before إِلَّا, but the word list exposes wid 11 only as بِ; the prep complement is attached to the available token.
ae:v3:s002:140:pass1:issue:s1	pass1	ISSUE	s1	2	140	source_data_unclear	warning	24	q:2:140:24							أَظْلَمُ is an elative predicate in context but the input marks it is_verb=true, so a frame was emitted for traversal.
ae:v3:s002:165:pass1:issue:s1	pass1	ISSUE	s1	2	165	manual_review_needed	note	22	q:2:165:22							The لَوْ clause has no overt apodosis in this ayah; the best local link is marked ambiguous.
ae:v3:s002:220:pass1:issue:s1	pass1	ISSUE	s1	2	220	schema_limitation	warning	1	q:2:220:1							فِى ٱلدُّنْيَا وَٱلْءَاخِرَةِ continues the preceding ayah, but Pass 1 forbids cross-ayah attachment to its governor.
ae:v3:s002:248:pass1:issue:s1	pass1	ISSUE	s1	2	248	source_data_unclear	warning	32	q:2:248:32							The input word list has لَ where the Arabic text and summary indicate لَكُمْ, so the dative complement is annotated on the available token.
ae:v3:s002:254:pass1:issue:s1	pass1	ISSUE	s1	2	254	source_data_unclear	warning	18	q:2:254:18							Input flags خُلَّةٌ as is_verb true, but the Arabic surface is a noun coordinated under لَا.
ae:v3:s002:273:pass1:issue:s1	pass1	ISSUE	s1	2	273	schema_limitation	warning	1	q:2:273:1							للفقراء has a visible governed noun but its semantic governor is supplied from context, so no prep_complement with a present head is emitted.
ae:v3:s002:279:pass1:issue:s1	pass1	ISSUE	s1	2	279	source_data_unclear	warning	17	q:2:279:17							The input splits لَكُمْ as لَ without a visible كُمْ word, so the governed pronoun cannot be represented as a normal prep_complement.
ae:v3:s002:023:pass3:issue:ts1	pass3	ISSUE	ts1	2	23	translation_bias_risk	warning	9	q:2:23:9							عَبْدِنَا is a definite construct description in the supplied Arabic evidence; preserve the Arabic description unless supplied evidence grammatically fixes a personal identity.
ae:v3:s002:041:pass3:issue:ts1	pass3	ISSUE	ts1	2	41	upstream_evidence_missing	warning	14	q:2:41:14							Pass 1 reports that the input word list has bare بِ at wid 14 where the Arabic text has بِهِ, so no local prep-complement row is available for the pronoun object.
ae:v3:s002:051:pass3:issue:ts1	pass3	ISSUE	ts1	2	51	coverage_uncertain	warning	11	q:2:51:11							The masculine singular suffix in بَعْدِهِ is morphologically visible, but the supplied Pass 2 rows give no XREF candidate; avoid forcing an explicit antecedent beyond the supplied evidence.
