unit_id	source_pass	source_rtype	source_local_id	sura	ayah	wid	word_unit_id	surface	stem	root_norm	form_tag	grammar	frame_obj_status	object_attachment_ids	object_wids	object_roots	prep_attachment_ids	preps	prep_object_wids	prep_object_roots	clausal_attachment_ids	subject_attachment_id	subject_wid	prodrop	has_cognate_acc	frame_signature	notes
ae:v3:s001:005:pass1:frame:v1	pass1	FRAME	v1	1	5	2	q:1:5:2	نَعْبُدُ	عبد	ع ب د	IV	Form I imperfect indicative, 1st person plural, active; verb of devotional action taking object إِيَّاكَ	explicit	ae:v3:s001:005:pass1:attach:a1	1									1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s001:005:pass1:frame:v2	pass1	FRAME	v2	1	5	5	q:1:5:5	نَسْتَعِينُ	ستعين	ع و ن	IV	Form X imperfect indicative, 1st person plural, active; verb of self-directed seeking with implied object إِيَّاكَ	explicit	ae:v3:s001:005:pass1:attach:a2	4									1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s001:006:pass1:frame:v1	pass1	FRAME	v1	1	6	1	q:1:6:1	اهْدِنَا	اهد	ه د ي	CV	CV 2ms + object pronoun -nā (1pl)	both	ae:v3:s001:006:pass1:attach:a1;ae:v3:s001:006:pass1:attach:a2	1;2	ص ر ط								1	0	obj=both|prep=-|clause=no|cognate=no	
ae:v3:s001:007:pass1:frame:v1	pass1	FRAME	v1	1	7	3	q:1:7:3	أَنْعَمْتَ	أنعم	ن ع م	PV	Form IV perfect verb, 2nd masc. sg. subject (addressing God continuing from v.6)	none_intransitive				ae:v3:s001:007:pass1:attach:a2	عَلَى	4					1	0	obj=none_intransitive|prep=عَلَى|clause=no|cognate=no	
ae:v3:s002:003:pass1:frame:v1	pass1	FRAME	v1	2	3	2	q:2:3:2	يُؤْمِنُونَ	ؤمن	أ م ن	IV	Form IV imperfect, 3rd person masculine plural, indicative; Form IV adds causative/declarative nuance to root '-m-n	none_intransitive				ae:v3:s002:003:pass1:attach:a1	بـ	4	غ ي ب				1	0	obj=none_intransitive|prep=بـ|clause=no|cognate=no	
ae:v3:s002:003:pass1:frame:v2	pass1	FRAME	v2	2	3	6	q:2:3:6	وَيُقِيمُونَ	قيم	ق و م	IV	Form IV imperfect, 3rd person masculine plural, indicative; Form IV causative of q-w-m (to stand)	explicit	ae:v3:s002:003:pass1:attach:a3	7	ص ل و								1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:003:pass1:frame:v3	pass1	FRAME	v3	2	3	10	q:2:3:10	رَزَقْنَاهُمْ	رزق	ر ز ق	PV	"perfect verb, 1st person plural (""We"") + 3rd person masculine plural object suffix (-hum); divine provision in past/completed tense"	clitic	ae:v3:s002:003:pass1:attach:a4	10									1	0	obj=clitic|prep=-|clause=no|cognate=no	visible recipient suffix only
ae:v3:s002:003:pass1:frame:v4	pass1	FRAME	v4	2	3	11	q:2:3:11	يُنْفِقُونَ	نفق	ن ف ق	IV	Form IV imperfect, 3rd person masculine plural, indicative	none_absolute											1	0	obj=none_absolute|prep=-|clause=no|cognate=no	partitive object token is not separately present
ae:v3:s002:004:pass1:frame:v1	pass1	FRAME	v1	2	4	3	q:2:4:3	يُؤْمِنُونَ	ؤمن	أ م ن	IV	Form IV imperfect active, 3rd person masculine plural	none_intransitive				ae:v3:s002:004:pass1:attach:a1	بـ	5					1	0	obj=none_intransitive|prep=بـ|clause=no|cognate=no	
ae:v3:s002:004:pass1:frame:v2	pass1	FRAME	v2	2	4	6	q:2:4:6	أُنْزِلَ	أنزل	ن ز ل	PV_PASS	Form IV perfect passive, 3rd person masculine singular	none_passive				ae:v3:s002:004:pass1:attach:a2	إِلَى	7						0	obj=none_passive|prep=إِلَى|clause=no|cognate=no	
ae:v3:s002:004:pass1:frame:v3	pass1	FRAME	v3	2	4	10	q:2:4:10	أُنْزِلَ	أنزل	ن ز ل	PV_PASS	Form IV perfect passive, 3rd person masculine singular	none_passive				ae:v3:s002:004:pass1:attach:a4	مِن	12	ق ب ل					0	obj=none_passive|prep=مِن|clause=no|cognate=no	
ae:v3:s002:004:pass1:frame:v4	pass1	FRAME	v4	2	4	17	q:2:4:17	يُوقِنُونَ	وقن	ي ق ن	IV	Form IV imperfect active, 3rd person masculine plural	none_intransitive				ae:v3:s002:004:pass1:attach:a5	بـ	15	أ خ ر		ae:v3:s002:004:pass1:attach:a6	16		0	obj=none_intransitive|prep=بـ|clause=no|cognate=no	
ae:v3:s002:006:pass1:frame:v1	pass1	FRAME	v1	2	6	3	q:2:6:3	كَفَرُوا	كفر	ك ف ر	PV	perfect verb, 3rd person masculine plural, Form I	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:006:pass1:frame:v2	pass1	FRAME	v2	2	6	6	q:2:6:6	أَأَنْذَرْتَهُمْ	أنذر	ن ذ ر	PV	interrogative hamza + Form IV perfect verb, 2nd person masculine singular + 3rd masculine plural object pronoun	clitic	ae:v3:s002:006:pass1:attach:a5	6									1	0	obj=clitic|prep=-|clause=no|cognate=no	
