unit_id	source_pass	source_rtype	source_local_id	sura	ayah	relation	status	confidence	evidence	reason	dep_wid	dep_unit_id	dep_surface	dep_root_norm	dep_form_tag	dep_part	head_wid	head_unit_id	head_surface	head_root_norm	head_form_tag	head_part	obj_type	prep_base	prep_wid	prep_unit_id	dep_start_wid	dep_end_wid	context	dep_clause_raw	dep_clause_unit_ids	head_clause_raw	head_clause_unit_ids	choice_set_raw	choice_relation
ae:v3:s001:001:pass1:attach:a1	pass1	ATTACH	a1	1	1	prep_complement	strongly_licensed	high	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	2	q:1:1:2	بِسْمِ	س م و	NOUN_ABSTRACT		1	q:1:1:1	بِسْمِ		PREP			بـ	1	q:1:1:1									
ae:v3:s001:001:pass1:attach:a2	pass1	ATTACH	a2	1	1	idafa	syntactically_forced	high	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	3	q:1:1:3	اللَّهِ	أ ل ه	NOUN_PROP		2	q:1:1:2	بِسْمِ	س م و	NOUN_ABSTRACT														
ae:v3:s001:001:pass1:attach:a3	pass1	ATTACH	a3	1	1	adjective	strongly_licensed	high	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	4	q:1:1:4	الرَّحْمَنِ	ر ح م	NOUN_PROP		3	q:1:1:3	اللَّهِ	أ ل ه	NOUN_PROP														
ae:v3:s001:001:pass1:attach:a4	pass1	ATTACH	a4	1	1	adjective	strongly_licensed	high	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	5	q:1:1:5	الرَّحِيمِ	ر ح م	NOUN_PROP		3	q:1:1:3	اللَّهِ	أ ل ه	NOUN_PROP														
ae:v3:s001:002:pass1:attach:a1	pass1	ATTACH	a1	1	2	prep_complement	strongly_licensed	high	case_government;local_syntax	ٱللَّهِ is governed by لِ, and the prepositional phrase لِلَّهِ completes the predicate relation with ٱلْحَمْدُ.	3	q:1:2:3	لِلَّهِ	أ ل ه	NOUN_PROP		1	q:1:2:1	الْحَمْدُ	ح م د	GERUND			لـ	2	q:1:2:2									
ae:v3:s001:002:pass1:attach:a2	pass1	ATTACH	a2	1	2	predication	syntactically_forced	high	local_syntax;word_order	لِلَّهِ is the khabar of ٱلْحَمْدُ in the nominal sentence.	3	q:1:2:3	لِلَّهِ	أ ل ه	NOUN_PROP		1	q:1:2:1	الْحَمْدُ	ح م د	GERUND						2	3				c1	ae:v3:s001:002:pass1:clause:c1		
ae:v3:s001:002:pass1:attach:a3	pass1	ATTACH	a3	1	2	apposition	strongly_licensed	high	case_government;local_syntax	رَبِّ is genitive and stands in apposition to ٱللَّهِ.	4	q:1:2:4	رَبِّ	ر ب ب	NOUN_CONCRETE		3	q:1:2:3	لِلَّهِ	أ ل ه	NOUN_PROP														
ae:v3:s001:002:pass1:attach:a4	pass1	ATTACH	a4	1	2	idafa	syntactically_forced	high	case_government;local_syntax	ٱلْعَٰلَمِينَ is the genitive muḍāf ilayhi of رَبِّ.	5	q:1:2:5	الْعَالَمِينَ	ع ل م	NOUN_ABSTRACT		4	q:1:2:4	رَبِّ	ر ب ب	NOUN_CONCRETE														
ae:v3:s001:003:pass1:attach:a1	pass1	ATTACH	a1	1	3	apposition	strongly_licensed	medium	local_syntax;parallelism	ٱلرَّحِيمِ follows ٱلرَّحْمَٰنِ as a paired genitive divine epithet within the ayah.	2	q:1:3:2	الرَّحِيمِ	ر ح م	NOUN_PROP		1	q:1:3:1	الرَّحْمَنِ	ر ح م	NOUN_PROP														
ae:v3:s001:004:pass1:attach:a1	pass1	ATTACH	a1	1	4	idafa	syntactically_forced	high	case_government;local_syntax	يَوْمِ is the genitive complement of مَٰلِكِ in an iḍāfa construction.	2	q:1:4:2	يَوْمِ	ي و م	NOUN_ABSTRACT		1	q:1:4:1	مَالِكِ	م ل ك	NOUN_ACTIVE_PART														
