family_id	branch_status	node_id	root	branch_id	ayahs	image_ar
F001	core	quranic:root_000532:B002	ر ب ب	B002	1	إصلاح وتربية وإتمام
F001	core	quranic:root_000844:B004	ص ح ب	B004	1	جعل الشيء مصاحبا واستصحابه
F001	core	quranic:root_000913:B004	ض ل ل	B004	2	ضياع الحفظ
F001	optional	quranic:root_000006:B001	ء ب ل	B001	3	الإبل ورعايتها
F001	optional	quranic:root_000006:B004	ء ب ل	B004	3	الثقل والتبعة
F001	optional	quranic:root_000043:B004	ء ك ل	B004	5	استهلاك المال وأخذه
F001	optional	quranic:root_000043:B006	ء ك ل	B006	5	التآكل والفساد والحكة
F001	optional	quranic:root_000248:B001	ج ع ل	B001	2,5	إحداث الشيء وصنعه
F001	optional	quranic:root_000248:B002	ج ع ل	B002	2,5	تصيير الشيء على حال
F001	optional	quranic:root_000248:B004	ج ع ل	B004	2,5	الشروع في الفعل أو ملازمته
F001	optional	quranic:root_000531:B012	ر ء ي	B012	1	إراءة وإظهار
F001	optional	quranic:root_000531:B013	ر ء ي	B013	1	أرأيتك للتنبيه والاستخبار
F001	optional	quranic:root_000532:B001	ر ب ب	B001	1	ربوبية وملك وسيادة
F001	optional	quranic:root_000532:B006	ر ب ب	B006	1	رُبّ خاثر وإصلاح به
F001	optional	quranic:root_000532:B007	ر ب ب	B007	1	لزوم وإقامة ودوام
F001	optional	quranic:root_000563:B001	ر س ل	B001	3	الإرسال والانبعاث
F001	optional	quranic:root_000563:B003	ر س ل	B003	3	السير السهل واللين
F001	optional	quranic:root_000563:B004	ر س ل	B004	3	الرفق والتؤدة
F001	optional	quranic:root_000563:B006	ر س ل	B006	3	اللبن والدر المتتابع
F001	optional	quranic:root_000563:B008	ر س ل	B008	3	المراسلة والمسايرة
F001	optional	quranic:root_000603:B006	ر م ي	B006	4	ترام إلى غاية
F001	optional	quranic:root_000603:B009	ر م ي	B009	4	ظن غير مصيب
F001	optional	quranic:root_000677:B002	س ج ل	B002	4	المساجلة بين دلوي المتغالبين
F001	optional	quranic:root_000677:B003	س ج ل	B003	4	البذل المرسل من فيض العطاء
F001	optional	quranic:root_000844:B001	ص ح ب	B001	1	الصُّحبة والملازمة
F001	optional	quranic:root_000844:B002	ص ح ب	B002	1	الحفظ بالمصاحبة
F001	optional	quranic:root_000844:B003	ص ح ب	B003	1	الإصحاب والانقياد
F001	optional	quranic:root_000844:B005	ص ح ب	B005	1	بلوغ الابن صاحبا
F001	optional	quranic:root_000844:B006	ص ح ب	B006	1	أديم مُصحَب عليه الشعر
F001	optional	quranic:root_000913:B002	ض ل ل	B002	2	الغيبوبة والخفاء
F001	optional	quranic:root_000913:B003	ض ل ل	B003	2	فقدان الشيء
