root_arabic	form_tag	form_tag_available	instance_count	dep_total	head_total	dep_dominant	dep_dominant_ratio	head_dominant	head_dominant_ratio	dep_entropy	head_entropy	ambiguous_dep	ambiguous_head	dep_dist	head_dist	batch_count	low_occurrence
أ ب ب	NOUN_CONCRETE	True	1	1	0	conjoined	1.0		0.0	0.0	0.0	0	0	"{""conjoined"": 1}"	{}	1	True
أ ب د	ADV	True	28	28	0	adverbial	1.0		0.0	0.0	0.0	0	0	"{""adverbial"": 28}"	{}	15	False
أ ب ق	PV:I	True	1	0	2		0.0	adverbial	0.5	0.0	1.0	0	0	{}	"{""adverbial"": 1, ""prep_complement"": 1}"	1	True
أ ب ل	NOUN_CONCRETE	True	3	2	0	prep_complement	1.0		0.0	0.0	0.0	2	0	"{""prep_complement"": 2}"	{}	3	True
أ ب و	IV:I	True	2	0	4		0.0	subject	0.5	0.0	1.5	0	0	{}	"{""adverbial"": 1, ""clausal_complement"": 1, ""subject"": 2}"	1	True
أ ب و	NOUN_CONCRETE	True	79	81	58	direct_object	0.259	idafa	0.397	2.711	2.094	0	0	"{""conjoined"": 15, ""direct_object"": 21, ""idafa"": 6, ""kana_predicate"": 1, ""particle_complement"": 1, ""predication"": 2, ""prep_complement"": 12, ""subject"": 15, ""vocative"": 8}"	"{""adjective"": 11, ""apposition"": 3, ""circumstantial"": 1, ""conjoined"": 17, ""idafa"": 23, ""predication"": 2, ""prep_complement"": 1}"	33	False
أ ب و	NOUN_FIVE	True	38	39	31	prep_complement	0.359	idafa	0.613	2.587	1.215	0	0	"{""conjoined"": 2, ""direct_object"": 2, ""idafa"": 4, ""kana_predicate"": 1, ""particle_complement"": 3, ""prep_complement"": 14, ""subject"": 7, ""vocative"": 6}"	"{""apposition"": 2, ""conjoined"": 10, ""idafa"": 19}"	17	False
أ ب و	PV:I	True	1	0	1		0.0	clausal_complement	1.0	0.0	0.0	0	0	{}	"{""clausal_complement"": 1}"	1	True
أ ب ي	IV:I	True	2	1	4	conjoined	1.0	subject	0.5	0.0	1.5	0	0	"{""conjoined"": 1}"	"{""clausal_complement"": 1, ""exception"": 1, ""subject"": 2}"	1	True
أ ب ي	PV:I	True	8	1	15	conjoined	1.0	subject	0.4	0.0	2.106	0	0	"{""conjoined"": 1}"	"{""clausal_complement"": 2, ""conjoined"": 3, ""direct_object"": 3, ""exception"": 1, ""subject"": 6}"	6	False
أ ت ي	CV:I	True	37	16	62	quoted_complement	0.688	prep_complement	0.484	1.122	1.696	0	0	"{""conjoined"": 4, ""particle_complement"": 1, ""quoted_complement"": 11}"	"{""adverbial"": 1, ""circumstantial"": 3, ""conjoined"": 4, ""direct_object"": 23, ""prep_complement"": 30, ""vocative"": 1}"	21	False
