strong	13:3	Directly repeats the earth's extension with mountains and rivers as its ordered features.
strong	16:15	Directly joins mountains that prevent instability with rivers laid through the earth.
weak	54:38	Its settled punishment uses stability language, but not the habitable created order.
medium	31:25	Names God as Creator of heaven and earth and closes with the same human ignorance.
strong	27:60	The immediately preceding divine-question refrain presents creation, rain, and gardens before the focus's earth-order signs.
medium	54:3	Its assertion that every matter reaches a settled outcome broadly echoes ordered determination.
strong	25:53	Directly names the two seas and the barrier placed between fresh and salt water.
medium	27:66	The nearby refrain on their deficient knowledge continues the focus ayah's critique of ignorance.
weak	14:29	A wretched final abode is a remote, punitive use of settlement rather than created stability.
strong	27:62	The next member of the same divine-question series names relief, succession on earth, and the no-rival refrain.
weak	17:91	Rivers running through a garden offer only a partial echo of rivers placed within the earth.
medium	69:47	Its denial that anyone can be a barrier supplies a contrasting use of the focus ayah's boundary concept.
strong	21:31	Directly describes mountains placed in the earth to prevent swaying and paths made through it.
no value	27:31	The submission demand in the Solomon narrative adds no material relation to the created-order argument.
weak	40:39	The lasting abode of the hereafter is a different domain from the earth's habitable stability.
strong	40:64	Explicitly calls the earth a settled dwelling made by God within a coordinated created environment.
weak	52:6	The charged sea is only a single shared element without the focus ayah's ordering function.
weak	27:40	The throne's being settled concerns a narrative object, not the earth's sustaining arrangement.
strong	27:63	The same local divine-question series includes land, sea, guidance, winds, and the no-rival conclusion.
medium	40:57	Its appeal to the greater creation of heavens and earth and to widespread ignorance supports the focus's theistic argument.
weak	2:36	Earthly residence after the fall is temporary and hostile, only distantly related to stable habitation.
medium	39:29	The parable of one master versus competing partners reinforces the focus ayah's rejection of rivals to God.
no value	27:18	The ant-valley warning is a local narrative scene without a usable relation to the creation signs.
medium	77:21	A firm resting place develops the narrower motif of a place made stable for life.
medium	55:19	The meeting of the two seas immediately prepares the barrier motif stated in the following ayah.
weak	42:32	Ships on the sea show a maritime sign, but not the barrier or terrestrial ordering at issue.
weak	25:24	The pleasant final resting place is a remote eschatological use of settlement.
medium	41:10	Mountains, blessing, and measured provisions placed in the earth parallel its ordered provisioning.
weak	27:44	The apparent water surface in Solomon's court is a narrative perceptual contrast, not a sea boundary.
no value	76:15	Silver vessels described as glass do not clarify the focus ayah's terrestrial or maritime order.
no value	28:13	Comfort of the mother's eye and the ignorance formula do not form a substantive connection.
weak	17:90	The demanded spring from the earth only loosely echoes water made to flow through it.
weak	25:66	The bad settled abode of Hell is a distinct, punitive sense of stability.
medium	43:10	It calls the earth a cradle and provides paths through it for guidance, paralleling habitable arrangement.
strong	15:19	Directly pairs the extended earth and stabilizing mountains with measured growth upon it.
weak	25:76	The beautiful eternal abode is an eschatological, not cosmological, counterpart to settlement.
strong	27:64	The concluding member of the immediate series repeats creation, provision from heaven and earth, and the no-rival challenge.
no value	27:23	The queen's throne belongs to the Solomon narrative and adds no creation-order relation.
weak	75:12	The final resting place with God uses the word-family abstractly, apart from earthly stability.
medium	2:164	Its coordinated signs include heaven, earth, sea travel, rain, revival, winds, and clouds, broadening the focus's sign argument.
weak	44:23	Night departure before pursuit concerns the sea narrative but not a boundary that sustains habitation.
