root_arabic	form_tag	form_tag_available	instance_count	pass2_xref_candidate_count	pass2_xref_resolved_candidate_count	pass2_candidate_density	candidate_root_dist	candidate_type_dist	status_dist	conf_dist	pass2_ayah_count	pass2_ayah_refs	source	batch_count	low_occurrence
أ ب و	NOUN_CONCRETE	True	79	8	6	0.101	"{""أ ب و"": 8}"	"{""word"": 8, ""xref:pronoun_antecedent"": 8}"	"{""ambiguous"": 4, ""strongly_licensed"": 12}"	"{""high"": 12, ""medium"": 4}"	7	7:28;7:71;12:5;18:80;18:81;37:70;43:22	pass2	33	False
أ ب و	NOUN_FIVE	True	38	17	17	0.447	"{""أ ب و"": 17}"	"{""word"": 17, ""xref:pronoun_antecedent"": 17}"	"{""strongly_licensed"": 33, ""surface_form"": 1}"	"{""high"": 32, ""medium"": 2}"	11	9:114;12:11;12:13;12:17;12:81;12:84;12:94;12:95;12:96;19:47;60:4	pass2	17	False
أ ت ي	IV:I	True	168	2	2	0.012	"{""أ ت ي"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 4}"	2	27:40;36:46	pass2	51	False
أ ت ي	PV:IV	True	115	1	1	0.009	"{""أ ت ي"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	34:44	pass2	45	False
أ ث م	ADJ_QUALIT	True	7	3	3	0.429	"{""أ ث م"": 3}"	"{""word"": 3, ""xref:pronoun_antecedent"": 3}"	"{""strongly_licensed"": 6}"	"{""high"": 6}"	3	44:47;44:48;44:49	pass2	7	False
أ ج ر	GERUND	True	92	1	1	0.011	"{""أ ج ر"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	18:3	pass2	37	False
أ ح د	NOUN_CONCRETE	True	19	23	23	1.211	"{""أ ح د"": 23}"	"{""word"": 23, ""xref:pronoun_antecedent"": 22, ""xref:relative_reference"": 1}"	"{""strongly_licensed"": 26, ""syntactically_forced"": 20}"	"{""high"": 46}"	11	9:6;9:84;12:41;12:42;18:34;18:35;18:37;18:39;18:40;49:12;63:10	pass2	8	False
أ ح د	NOUN_NUM	True	60	4	4	0.067	"{""أ ح د"": 4}"	"{""word"": 4, ""xref:pronoun_antecedent"": 4}"	"{""strongly_licensed"": 8}"	"{""high"": 4, ""medium"": 4}"	4	16:58;16:76;24:7;24:8	pass2	30	False
أ خ ذ	IV:I	True	27	2	2	0.074	"{""أ خ ذ"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 4}"	2	36:49;36:50	pass2	14	False
أ خ ذ	PV:VIII	True	66	1	0	0.015	"{""أ خ ذ"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 2}"	"{""high"": 1, ""medium"": 1}"	1	25:52	pass2	30	False
أ خ ر	ADJ_COMP	True	95	14	14	0.147	"{""أ خ ر"": 14}"	"{""word"": 14, ""xref:pronoun_antecedent"": 13, ""xref:resumptive_reference"": 1}"	"{""strongly_licensed"": 24, ""syntactically_forced"": 4}"	"{""high"": 26, ""medium"": 2}"	8	9:102;9:103;9:104;9:106;12:41;37:137;48:21;61:13	pass2	38	False
أ خ ر	NOUN_ABSTRACT	True	43	1	1	0.023	"{""أ خ ر"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	34:21	pass2	25	False
أ خ و	NOUN_CONCRETE	True	55	39	38	0.709	"{""أ خ و"": 39}"	"{""word"": 39, ""xref:demonstrative_reference"": 1, ""xref:discourse_reference"": 2, ""xref:pronoun_antecedent"": 36}"	"{""ambiguous"": 2, ""strongly_licensed"": 75, ""surface_form"": 1}"	"{""high"": 73, ""medium"": 5}"	17	7:38;12:5;12:8;12:9;12:10;12:58;12:59;12:60;12:61;12:62;12:63;12:69;12:70;12:100;12:102;38:23;38:24	pass2	21	False
أ خ و	NOUN_FIVE	True	41	10	10	0.244	"{""أ خ و"": 10}"	"{""word"": 10, ""xref:demonstrative_reference"": 1, ""xref:discourse_reference"": 1, ""xref:pronoun_antecedent"": 8}"	"{""discourse_inferred"": 2, ""strongly_licensed"": 18}"	"{""high"": 17, ""medium"": 3}"	8	12:63;12:64;12:66;12:69;12:90;27:47;27:49;27:59	pass2	18	False
أ ذ ن	GERUND	True	40	1	0	0.025	"{""أ ذ ن"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 2}"	"{""medium"": 2}"	1	7:58	pass2	21	False
أ ر ض	NOUN_CONCRETE	True	461	60	55	0.13	"{""أ ر ض"": 60}"	"{""word"": 60, ""xref:pronoun_antecedent"": 56, ""xref:relative_reference"": 1, ""xref:resumptive_reference"": 3}"	"{""ambiguous"": 11, ""strongly_licensed"": 83, ""syntactically_forced"": 26}"	"{""high"": 104, ""medium"": 16}"	45	7:10;7:137;7:176;10:24;11:61;15:19;15:20;18:7;18:8;26:152;28:4;29:63;30:9;30:19;30:24;30:50;31:10;33:27;34:2;35:9;35:45;36:33;36:34;39:69;43:10;45:5;50:7;55:11;55:26;56:6;57:4;57:17;67:15;67:16;71:18;71:20;77:27;79:31;80:27;84:4;84:5;91:6;99:3;99:4;99:5	pass2	80	False
أ ز ف	NOUN_PROP	True	2	1	1	0.5	"{""أ ز ف"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	53:58	pass2	2	True
